Gene	Cytoband	(A) Immunomodulatory	(B) Luminal Androgen Receptor	(A) Immunomodulatory	(B) Luminal Androgen Receptor	Log2 Ratio	p-Value	q-Value	Higher expression in
PRMT5-AS1	14q11.2	0.33	0.06	0.47	0.08	0.27	0.162	0.574	(A) Immunomodulatory
YARS2	12p11.21	0.30	0.03	0.35	0.04	0.27	0.0689	0.465	(A) Immunomodulatory
ACSS1	20p11.21	0.56	0.29	0.32	0.30	0.27	0.265	0.671	(A) Immunomodulatory
ARL5C	17q12	0.47	0.19	0.46	0.28	0.27	0.426	0.781	(A) Immunomodulatory
PTPN7	1q32.1	1.19	0.92	0.40	0.80	0.27	0.621	0.875	(A) Immunomodulatory
HIKESHI	11q14.2	0.33	0.06	0.36	0.10	0.27	0.0834	0.478	(A) Immunomodulatory
DYNLT2B	3q29	0.29	0.02	0.41	0.03	0.27	0.107	0.497	(A) Immunomodulatory
KCNJ2-AS1	17q24.3	0.60	0.33	0.66	0.35	0.27	0.409	0.773	(A) Immunomodulatory
RLN2	9p24.1	0.31	0.03	0.33	0.06	0.27	0.0575	0.451	(A) Immunomodulatory
CMKLR1	12q23.3	0.60	0.33	0.47	0.56	0.27	0.509	0.823	(A) Immunomodulatory
LINC02587	7p21.2	0.81	0.54	0.64	0.57	0.27	0.534	0.836	(A) Immunomodulatory
NFATC3	16q22.1	0.31	0.04	0.36	0.07	0.27	0.0751	0.474	(A) Immunomodulatory
PTGS2	1q31.1	0.87	0.60	0.87	0.52	0.27	0.552	0.845	(A) Immunomodulatory
BLOC1S1	12q13.2	0.34	0.07	0.32	0.11	0.27	0.0678	0.464	(A) Immunomodulatory
BEST1	11q12.3	0.38	0.11	0.35	0.18	0.27	0.136	0.541	(A) Immunomodulatory
RPL18	19q13.33	0.28	0.01	0.35	0.02	0.27	0.0642	0.460	(A) Immunomodulatory
UMPS	3q21.2	0.29	0.02	0.40	0.02	0.27	0.0998	0.492	(A) Immunomodulatory
NAT8L	4p16.3	0.37	0.10	0.69	0.18	0.27	0.333	0.728	(A) Immunomodulatory
EIF4A3	17q25.3	0.30	0.03	0.30	0.05	0.27	0.0415	0.430	(A) Immunomodulatory
FAM3A	Xq28	0.30	0.03	0.46	0.04	0.27	0.143	0.550	(A) Immunomodulatory
TMEM14B	6p24.2	0.35	0.08	0.37	0.13	0.27	0.106	0.497	(A) Immunomodulatory
KTN1-AS1	14q22.3	0.31	0.04	0.73	0.06	0.27	0.332	0.727	(A) Immunomodulatory
HMGN3	6q14.1	0.58	0.31	0.51	0.53	0.27	0.498	0.818	(A) Immunomodulatory
PRR3	6p21.33	0.27	0.00	0.31	0.00	0.27	0.0419	0.430	(A) Immunomodulatory
NALF1-IT1	13q33.3	0.71	0.44	0.62	0.77	0.27	0.632	0.880	(A) Immunomodulatory
GEN1	2p24.2	0.28	0.01	0.47	0.02	0.27	0.153	0.566	(A) Immunomodulatory
IRAK1BP1	6q14.1	0.35	0.08	0.35	0.14	0.27	0.105	0.496	(A) Immunomodulatory
CCR7	17q21.2	1.46	1.19	0.38	0.69	0.27	0.575	0.855	(A) Immunomodulatory
GRK5	10q26.11	0.44	0.17	0.39	0.30	0.27	0.278	0.683	(A) Immunomodulatory
DANCR	4q12	0.30	0.03	0.44	0.05	0.27	0.131	0.529	(A) Immunomodulatory
FCGBP	19q13.2	0.58	0.31	0.58	0.54	0.27	0.512	0.824	(A) Immunomodulatory
OFD1	Xp22.2	0.32	0.05	0.40	0.09	0.27	0.106	0.497	(A) Immunomodulatory
THAP11	16q22.1	0.35	0.08	0.38	0.14	0.27	0.121	0.516	(A) Immunomodulatory
MT1E	16q13	0.42	0.15	0.66	0.26	0.27	0.360	0.741	(A) Immunomodulatory
CNTN4	3p26.3-p26.2	0.57	0.30	0.46	0.33	0.27	0.334	0.729	(A) Immunomodulatory
C18ORF32	18q21.1	0.30	0.03	0.42	0.05	0.27	0.119	0.513	(A) Immunomodulatory
NUSAP1	15q14	0.27	0.00	0.40	0.00	0.27	0.0970	0.489	(A) Immunomodulatory
FBXL13	7q22.1	0.85	0.58	0.92	0.81	0.27	0.663	0.891	(A) Immunomodulatory
LHCGR	2p16.3	0.60	0.33	0.89	0.47	0.27	0.635	0.881	(A) Immunomodulatory
MBLAC1	7q22.1	0.29	0.02	0.34	0.03	0.27	0.0610	0.454	(A) Immunomodulatory
GPANK1	6p21.33	0.30	0.04	0.30	0.06	0.27	0.0422	0.430	(A) Immunomodulatory
RPL13A	19q13.33	0.36	0.09	0.42	0.15	0.27	0.155	0.566	(A) Immunomodulatory
SMTNL2	17p13.2	0.48	0.21	0.56	0.37	0.27	0.395	0.762	(A) Immunomodulatory
LILRA1	19q13.42	0.35	0.09	0.49	0.09	0.27	0.177	0.588	(A) Immunomodulatory
CEP295	11q21	0.40	0.13	0.42	0.13	0.27	0.139	0.544	(A) Immunomodulatory
BRD10	9p24.1	0.35	0.09	0.39	0.10	0.27	0.108	0.498	(A) Immunomodulatory
TENT5B	1p36.11	0.30	0.03	0.46	0.06	0.27	0.151	0.562	(A) Immunomodulatory
CXCL12	10q11.21	0.64	0.37	0.45	0.33	0.27	0.330	0.726	(A) Immunomodulatory
ATP23	12q14.1	0.31	0.04	0.38	0.04	0.27	0.0910	0.485	(A) Immunomodulatory
MEFV	16p13.3	0.45	0.19	0.44	0.17	0.27	0.180	0.590	(A) Immunomodulatory
FOXA3	19q13.32	0.56	0.30	0.82	0.51	0.27	0.593	0.863	(A) Immunomodulatory
C1GALT1C1	Xq24	0.40	0.13	0.42	0.23	0.27	0.220	0.631	(A) Immunomodulatory
TAS2R30	12p13.2	0.35	0.09	0.44	0.15	0.27	0.192	0.602	(A) Immunomodulatory
LINC01140	1p22.3	0.50	0.23	0.43	0.40	0.27	0.395	0.762	(A) Immunomodulatory
DDX47	12p13.1	0.27	0.01	0.31	0.01	0.27	0.0444	0.435	(A) Immunomodulatory
CINP	14q32.31	0.35	0.09	0.43	0.15	0.27	0.162	0.574	(A) Immunomodulatory
MRPS18C	4q21.23	0.38	0.11	0.38	0.19	0.27	0.170	0.585	(A) Immunomodulatory
NASP	1p34.1	0.31	0.05	0.40	0.08	0.27	0.111	0.502	(A) Immunomodulatory
C4ORF36	4q21.3	0.52	0.25	0.46	0.44	0.26	0.430	0.783	(A) Immunomodulatory
SPATA3-AS1	2q37.1	0.27	0.01	0.48	0.02	0.26	0.192	0.602	(A) Immunomodulatory
ABRACL	6q24.1	0.51	0.25	0.49	0.43	0.26	0.432	0.784	(A) Immunomodulatory
RTL8B	Xq26.3	0.39	0.13	0.43	0.22	0.26	0.219	0.629	(A) Immunomodulatory
DNAH2	17p13.1	0.31	0.04	0.45	0.07	0.26	0.147	0.556	(A) Immunomodulatory
APOBEC3C	22q13.1	0.61	0.35	0.49	0.39	0.26	0.397	0.763	(A) Immunomodulatory
EGFL8	6p21.32	0.38	0.12	0.45	0.21	0.26	0.222	0.631	(A) Immunomodulatory
MINPP1	10q23.2	0.35	0.08	0.44	0.14	0.26	0.170	0.585	(A) Immunomodulatory
CTSB	8p23.1	0.48	0.22	0.53	0.38	0.26	0.402	0.767	(A) Immunomodulatory
TTC41P	12q23.3	0.52	0.26	0.58	0.44	0.26	0.460	0.802	(A) Immunomodulatory
PHF24	9p13.3	0.41	0.14	0.81	0.25	0.26	0.433	0.785	(A) Immunomodulatory
RAB36	22q11.23	0.31	0.05	0.53	0.08	0.26	0.211	0.622	(A) Immunomodulatory
THAP3	1p36.31	0.35	0.09	0.33	0.08	0.26	0.0676	0.464	(A) Immunomodulatory
GIPC2	1p31.1	0.69	0.42	0.35	0.70	0.26	0.587	0.860	(A) Immunomodulatory
SLC6A17	1p13.3	0.71	0.44	0.81	0.46	0.26	0.524	0.831	(A) Immunomodulatory
C1GALT1	7p22.1-p21.3	0.29	0.03	0.39	0.05	0.26	0.0991	0.491	(A) Immunomodulatory
EMC2	8q23.1	0.30	0.04	0.39	0.06	0.26	0.101	0.493	(A) Immunomodulatory
TPSB2	16p13.3	0.60	0.34	0.66	0.59	0.26	0.558	0.847	(A) Immunomodulatory
HOXB2	17q21.32	0.35	0.09	0.41	0.16	0.26	0.156	0.567	(A) Immunomodulatory
FOXD4	9p24.3	0.47	0.21	0.70	0.37	0.26	0.447	0.794	(A) Immunomodulatory
IMPA2	18p11.21	0.35	0.09	0.45	0.16	0.26	0.185	0.595	(A) Immunomodulatory
PDE7A	8q13.1	0.38	0.12	0.40	0.21	0.26	0.195	0.605	(A) Immunomodulatory
FBXO6	1p36.22	0.62	0.35	0.39	0.31	0.26	0.300	0.702	(A) Immunomodulatory
CEP57	11q21	0.29	0.03	0.27	0.05	0.26	0.0301	0.429	(A) Immunomodulatory
NUDT18	8p21.3	0.60	0.34	0.44	0.31	0.26	0.311	0.711	(A) Immunomodulatory
RPS5	19q13.43	0.26	0.00	0.38	0.00	0.26	0.0908	0.485	(A) Immunomodulatory
XG	Xp22.33	0.46	0.20	0.40	0.35	0.26	0.342	0.734	(A) Immunomodulatory
RWDD1	6q22.1	0.42	0.16	0.35	0.24	0.26	0.209	0.620	(A) Immunomodulatory
RASL11B	4q12	0.43	0.17	0.52	0.21	0.26	0.269	0.675	(A) Immunomodulatory
LRR1	14q21.3	0.29	0.03	0.44	0.04	0.26	0.138	0.543	(A) Immunomodulatory
TAF12	1p35.3	0.34	0.08	0.29	0.13	0.26	0.0732	0.471	(A) Immunomodulatory
LINC00323	21q22.2	0.52	0.26	0.63	0.45	0.26	0.479	0.812	(A) Immunomodulatory
CCM2	7p13	0.42	0.16	0.35	0.19	0.26	0.158	0.570	(A) Immunomodulatory
CASS4	20q13.31	0.73	0.47	0.58	0.46	0.26	0.478	0.811	(A) Immunomodulatory
IFNE	9p21.3	0.44	0.18	0.56	0.31	0.26	0.362	0.742	(A) Immunomodulatory
TIPIN	15q22.31	0.38	0.12	0.45	0.21	0.26	0.229	0.637	(A) Immunomodulatory
UQCR10	22q12.2	0.29	0.03	0.34	0.05	0.26	0.0679	0.464	(A) Immunomodulatory
CUZD1	10q26.13	0.27	0.01	0.55	0.02	0.26	0.226	0.634	(A) Immunomodulatory
ECHDC1	6q22.33	0.59	0.33	0.33	0.58	0.26	0.522	0.830	(A) Immunomodulatory
FBXL19-AS1	16p11.2	0.39	0.13	0.51	0.23	0.26	0.281	0.685	(A) Immunomodulatory
SRP19	5q22.2	0.37	0.11	0.35	0.08	0.26	0.0808	0.478	(A) Immunomodulatory
EPHA7	6q16.1	0.70	0.44	0.76	0.77	0.26	0.644	0.884	(A) Immunomodulatory
RPS26P11	Xq13.1	0.54	0.28	0.52	0.40	0.26	0.523	0.830	(A) Immunomodulatory
CASP12	11q22.3	0.59	0.33	0.52	0.58	0.26	0.544	0.841	(A) Immunomodulatory
DIRAS1	19p13.3	0.38	0.12	0.38	0.21	0.26	0.196	0.608	(A) Immunomodulatory
FAM226B	Xq13.1	0.41	0.15	0.52	0.21	0.26	0.341	0.733	(A) Immunomodulatory
RPL26L1	5q35.1	0.28	0.02	0.27	0.03	0.26	0.0322	0.429	(A) Immunomodulatory
WNK4	17q21.2	0.56	0.30	0.64	0.52	0.26	0.534	0.836	(A) Immunomodulatory
RTN4R	22q11.21	0.26	0.00	0.53	0.01	0.26	0.211	0.622	(A) Immunomodulatory
CHL1-AS1	3p26.3	0.38	0.13	0.45	0.18	0.26	0.373	0.748	(A) Immunomodulatory
CHST12	7p22.3	0.41	0.15	0.42	0.13	0.26	0.154	0.566	(A) Immunomodulatory
CXCL14	5q31.1	0.76	0.50	0.61	0.51	0.26	0.515	0.825	(A) Immunomodulatory
CUTC	10q24.2	0.37	0.11	0.20	0.15	0.26	0.0637	0.458	(A) Immunomodulatory
DIPK1A	1p22.1	0.87	0.61	0.33	0.50	0.26	0.475	0.810	(A) Immunomodulatory
KCNC1	11p15.1	0.57	0.31	0.68	0.44	0.26	0.581	0.858	(A) Immunomodulatory
SLF1	5q15	0.39	0.13	0.30	0.22	0.26	0.179	0.590	(A) Immunomodulatory
VSIG10L	19q13.41	0.45	0.19	0.52	0.32	0.26	0.361	0.742	(A) Immunomodulatory
SUSD3	9q22.31	0.67	0.41	0.47	0.37	0.26	0.385	0.756	(A) Immunomodulatory
POLR2J	7q22.1	0.30	0.04	0.40	0.07	0.26	0.119	0.513	(A) Immunomodulatory
FAM215A	17q21.31	0.57	0.31	0.62	0.44	0.26	0.573	0.854	(A) Immunomodulatory
RPL23	17q12	0.30	0.04	0.40	0.06	0.26	0.116	0.506	(A) Immunomodulatory
NRDE2	14q32.11	0.43	0.17	0.45	0.16	0.26	0.195	0.605	(A) Immunomodulatory
GTF2F2	13q14.12-q14.13	0.31	0.05	0.39	0.09	0.26	0.120	0.515	(A) Immunomodulatory
MITD1	2q11.2	0.47	0.21	0.37	0.37	0.26	0.362	0.742	(A) Immunomodulatory
NELL2	12q12	1.15	0.90	0.60	0.78	0.26	0.640	0.883	(A) Immunomodulatory
MIF	22q11.23	0.40	0.14	0.43	0.25	0.26	0.263	0.669	(A) Immunomodulatory
CTPS2	Xp22.2	0.30	0.04	0.41	0.08	0.26	0.127	0.523	(A) Immunomodulatory
CD59	11p13	0.49	0.23	0.61	0.31	0.26	0.387	0.757	(A) Immunomodulatory
PIGC	1q24.3	0.30	0.04	0.33	0.07	0.26	0.0689	0.465	(A) Immunomodulatory
MRPL54	19p13.3	0.46	0.20	0.42	0.20	0.26	0.203	0.615	(A) Immunomodulatory
SAMHD1	20q11.23	0.70	0.44	0.49	0.44	0.26	0.446	0.793	(A) Immunomodulatory
FCHSD2	11q13.4	0.53	0.27	0.40	0.24	0.26	0.246	0.654	(A) Immunomodulatory
COPG2	7q32.2	0.29	0.03	0.41	0.05	0.26	0.125	0.522	(A) Immunomodulatory
NENF	1q32.3	0.32	0.06	0.43	0.10	0.26	0.152	0.564	(A) Immunomodulatory
LTV1	6q24.2	0.40	0.14	0.46	0.12	0.26	0.182	0.592	(A) Immunomodulatory
OGFR	20q13.33	0.35	0.09	0.33	0.10	0.26	0.0834	0.478	(A) Immunomodulatory
RPS6KA4	11q13.1	0.32	0.07	0.30	0.11	0.26	0.0722	0.470	(A) Immunomodulatory
HSD17B7P2	10p11.1	0.51	0.25	0.49	0.43	0.26	0.445	0.793	(A) Immunomodulatory
ZRSR2	Xp22.2	0.48	0.22	0.46	0.19	0.26	0.230	0.639	(A) Immunomodulatory
SMIM11	21q22.11-q22.12	0.30	0.04	0.30	0.08	0.26	0.0523	0.446	(A) Immunomodulatory
CSK	15q24.1	0.42	0.17	0.44	0.24	0.26	0.253	0.660	(A) Immunomodulatory
TUBAL3	10p15.1	0.61	0.36	0.77	0.62	0.26	0.594	0.863	(A) Immunomodulatory
ZNF395	8p21.1	0.43	0.18	0.37	0.30	0.26	0.301	0.702	(A) Immunomodulatory
PAXIP1-DT	7q36.2	0.29	0.03	0.39	0.06	0.26	0.106	0.497	(A) Immunomodulatory
PDGFRA	4q12	0.28	0.03	0.34	0.05	0.26	0.0757	0.474	(A) Immunomodulatory
ATOH8	2p11.2	0.76	0.50	0.60	0.47	0.26	0.495	0.818	(A) Immunomodulatory
MAT2B	5q34	0.66	0.41	0.32	0.40	0.26	0.392	0.760	(A) Immunomodulatory
ADAMTSL1	9p22.2-p22.1	0.60	0.34	0.55	0.59	0.26	0.555	0.846	(A) Immunomodulatory
LNC-LBCS	6p22.3	0.50	0.24	0.52	0.42	0.26	0.453	0.797	(A) Immunomodulatory
CHPT1	12q23.2	0.26	0.00	0.32	0.00	0.26	0.0616	0.454	(A) Immunomodulatory
NUGGC	8p21.1	1.53	1.28	0.69	0.44	0.26	0.495	0.818	(A) Immunomodulatory
MANBAL	20q11.23	0.32	0.07	0.38	0.12	0.26	0.124	0.520	(A) Immunomodulatory
SLC7A7	14q11.2	0.71	0.45	0.49	0.78	0.25	0.638	0.883	(A) Immunomodulatory
HTR3A	11q23.2	0.43	0.17	0.60	0.24	0.25	0.395	0.762	(A) Immunomodulatory
QPCT	2p22.2	0.32	0.07	0.47	0.12	0.25	0.190	0.600	(A) Immunomodulatory
SP2-AS1	17q21.32	0.30	0.04	0.36	0.05	0.25	0.0870	0.483	(A) Immunomodulatory
RGN	Xp11.3	0.30	0.05	0.51	0.09	0.25	0.211	0.622	(A) Immunomodulatory
SAMD3	6q23.1	1.01	0.76	0.52	0.71	0.25	0.612	0.871	(A) Immunomodulatory
LAX1	1q32.1	1.66	1.40	0.65	0.43	0.25	0.478	0.811	(A) Immunomodulatory
ALDH1L2	12q23.3	0.27	0.02	0.47	0.03	0.25	0.172	0.585	(A) Immunomodulatory
POP7	7q22.1	0.35	0.10	0.38	0.17	0.25	0.161	0.573	(A) Immunomodulatory
ERLEC1	2p16.2	0.56	0.31	0.46	0.24	0.25	0.272	0.677	(A) Immunomodulatory
TRIAP1	12q24.31	0.29	0.04	0.26	0.06	0.25	0.0326	0.429	(A) Immunomodulatory
CDC37L1	9p24.1	0.35	0.10	0.36	0.17	0.25	0.154	0.566	(A) Immunomodulatory
MGAM	7q34	0.56	0.31	0.75	0.53	0.25	0.557	0.847	(A) Immunomodulatory
HPS5	11p15.1	0.42	0.17	0.28	0.29	0.25	0.269	0.675	(A) Immunomodulatory
KRI1	19p13.2	0.35	0.10	0.35	0.17	0.25	0.150	0.562	(A) Immunomodulatory
ZSCAN16	6p22.1	0.28	0.03	0.30	0.04	0.25	0.0481	0.439	(A) Immunomodulatory
KREMEN2	16p13.3	0.87	0.62	0.72	1.04	0.25	0.725	0.914	(A) Immunomodulatory
UBL4B	1p13.3	0.30	0.05	0.52	0.08	0.25	0.223	0.632	(A) Immunomodulatory
CBFB	16q22.1	0.33	0.08	0.29	0.13	0.25	0.0846	0.478	(A) Immunomodulatory
FST	5q11.2	0.58	0.33	0.58	0.33	0.25	0.395	0.762	(A) Immunomodulatory
TNFSF9	19p13.3	0.52	0.27	0.44	0.47	0.25	0.469	0.807	(A) Immunomodulatory
TIMM10	11q12.1	0.26	0.00	0.34	0.00	0.25	0.0735	0.471	(A) Immunomodulatory
PLEKHA8P1	12q12	0.46	0.20	0.58	0.35	0.25	0.414	0.776	(A) Immunomodulatory
TEKT5	16p13.13	0.48	0.23	0.75	0.40	0.25	0.533	0.836	(A) Immunomodulatory
RAB30-DT	11q14.1	0.31	0.06	0.43	0.10	0.25	0.159	0.572	(A) Immunomodulatory
MPP2	17q21.31	0.36	0.11	0.46	0.18	0.25	0.229	0.637	(A) Immunomodulatory
SLC7A3	Xq13.1	0.40	0.15	0.73	0.21	0.25	0.450	0.795	(A) Immunomodulatory
ZNG1A	9p24.3	0.27	0.02	0.40	0.03	0.25	0.116	0.508	(A) Immunomodulatory
ZSCAN5A	19q13.43	0.25	0.00	0.30	0.00	0.25	0.0468	0.438	(A) Immunomodulatory
MYO7B	2q14.3	0.65	0.40	0.56	0.69	0.25	0.610	0.870	(A) Immunomodulatory
GNAI2	3p21.31	0.35	0.10	0.38	0.17	0.25	0.164	0.576	(A) Immunomodulatory
GPR88	1p21.2	0.47	0.22	0.52	0.37	0.25	0.409	0.773	(A) Immunomodulatory
PRRT2	16p11.2	0.37	0.12	0.56	0.21	0.25	0.309	0.709	(A) Immunomodulatory
UHRF2	9p24.1	0.28	0.03	0.26	0.05	0.25	0.0300	0.429	(A) Immunomodulatory
ARHGAP33	19q13.12	0.35	0.10	0.52	0.18	0.25	0.262	0.669	(A) Immunomodulatory
PDCD7	15q22.31	0.28	0.02	0.43	0.04	0.25	0.147	0.556	(A) Immunomodulatory
CCN5	20q13.12	0.44	0.19	0.57	0.33	0.25	0.394	0.761	(A) Immunomodulatory
PNOC	8p21.1	1.52	1.27	0.62	0.18	0.25	0.328	0.724	(A) Immunomodulatory
PTPN1	20q13.13	0.40	0.15	0.36	0.26	0.25	0.254	0.661	(A) Immunomodulatory
CACNA1B	9q34.3	0.71	0.46	0.77	0.80	0.25	0.671	0.894	(A) Immunomodulatory
FOLH1	11p11.12	0.55	0.30	0.61	0.51	0.25	0.527	0.832	(A) Immunomodulatory
SNHG28	1q23.2	0.27	0.02	0.42	0.03	0.25	0.135	0.538	(A) Immunomodulatory
SERGEF	11p15.1	0.33	0.08	0.48	0.13	0.25	0.212	0.622	(A) Immunomodulatory
CEBPB	20q13.13	0.50	0.25	0.49	0.43	0.25	0.451	0.796	(A) Immunomodulatory
TCAF1	7q35	0.39	0.14	0.57	0.24	0.25	0.334	0.728	(A) Immunomodulatory
VAV1	19p13.3	0.82	0.57	0.44	0.51	0.25	0.499	0.818	(A) Immunomodulatory
TUBGCP3	13q34	0.27	0.02	0.30	0.03	0.25	0.0496	0.442	(A) Immunomodulatory
AK5	1p31.1	0.63	0.38	0.82	0.66	0.25	0.625	0.877	(A) Immunomodulatory
PLCXD1	Xp22.33 and Yp11.32	0.39	0.14	0.47	0.14	0.25	0.209	0.620	(A) Immunomodulatory
TACR2	10q22.1	0.33	0.08	0.55	0.14	0.25	0.266	0.672	(A) Immunomodulatory
MEIOC	17q21.31	0.34	0.09	0.46	0.12	0.25	0.195	0.606	(A) Immunomodulatory
CPNE5	6p21.2	1.24	0.99	0.60	0.37	0.25	0.439	0.789	(A) Immunomodulatory
GPC3	Xq26.2	0.66	0.41	0.68	0.70	0.25	0.628	0.878	(A) Immunomodulatory
GTPBP6	Xp22.33 and Yp11.32	0.31	0.06	0.40	0.07	0.25	0.124	0.521	(A) Immunomodulatory
MRPL44	2q36.1	0.33	0.08	0.30	0.13	0.25	0.0908	0.485	(A) Immunomodulatory
GRB2	17q25.1	0.39	0.14	0.33	0.25	0.25	0.236	0.645	(A) Immunomodulatory
RARRES1	3q25.32	0.95	0.70	0.83	1.21	0.25	0.765	0.927	(A) Immunomodulatory
AIMP1	4q24	0.39	0.14	0.34	0.17	0.25	0.145	0.553	(A) Immunomodulatory
MAN1A2	1p12	0.30	0.05	0.33	0.09	0.25	0.0810	0.478	(A) Immunomodulatory
PPCDC	15q24.2	0.38	0.13	0.50	0.16	0.25	0.246	0.654	(A) Immunomodulatory
MRPL53	2p13.1	0.26	0.01	0.40	0.02	0.25	0.118	0.511	(A) Immunomodulatory
TFF1	21q22.3	0.98	0.73	1.00	1.27	0.25	0.783	0.934	(A) Immunomodulatory
JDP2	14q24.3	0.30	0.05	0.28	0.09	0.25	0.0548	0.448	(A) Immunomodulatory
PIK3C2G	12p12.3	0.52	0.27	0.42	0.47	0.25	0.474	0.810	(A) Immunomodulatory
EMP3	19q13.33	0.47	0.22	0.40	0.38	0.25	0.399	0.765	(A) Immunomodulatory
XXYLT1	3q29	0.29	0.04	0.33	0.07	0.25	0.0748	0.474	(A) Immunomodulatory
EID3	12q23.3	0.47	0.22	0.26	0.19	0.25	0.147	0.556	(A) Immunomodulatory
FN3KRP	17q25.3	0.32	0.07	0.40	0.13	0.25	0.154	0.566	(A) Immunomodulatory
SMIM10L2A	Xq26.3	0.40	0.15	0.49	0.27	0.25	0.315	0.714	(A) Immunomodulatory
MAP1LC3B2	12q24.22	0.64	0.39	0.47	0.68	0.25	0.605	0.867	(A) Immunomodulatory
CHIT1	1q32.1	1.27	1.02	1.00	1.71	0.25	0.831	0.949	(A) Immunomodulatory
DQX1	2p13.1	1.02	0.77	0.66	1.05	0.25	0.731	0.915	(A) Immunomodulatory
STX8	17p13.1	0.37	0.12	0.21	0.11	0.25	0.0376	0.429	(A) Immunomodulatory
HNRNPA1	12q13.13	0.27	0.02	0.30	0.03	0.25	0.0546	0.447	(A) Immunomodulatory
TMTC4	13q32.3	0.48	0.23	0.52	0.40	0.25	0.436	0.787	(A) Immunomodulatory
CCDC54	3q13.12	0.58	0.33	0.82	0.47	0.25	0.753	0.923	(A) Immunomodulatory
NDFIP1	5q31.3	0.31	0.06	0.37	0.10	0.25	0.116	0.506	(A) Immunomodulatory
RASSF3	12q14.2	0.55	0.30	0.40	0.52	0.25	0.512	0.824	(A) Immunomodulatory
TMA16	4q32.2	0.31	0.06	0.29	0.10	0.25	0.0645	0.460	(A) Immunomodulatory
TCEAL9	Xq22.2	0.25	0.00	0.33	0.01	0.25	0.0717	0.470	(A) Immunomodulatory
C17ORF75	17q11.2	0.27	0.02	0.23	0.04	0.25	0.0174	0.397	(A) Immunomodulatory
RHBDF2	17q25.1	0.34	0.09	0.39	0.16	0.25	0.167	0.581	(A) Immunomodulatory
PPP1R35	7q22.1	0.29	0.04	0.37	0.07	0.25	0.109	0.500	(A) Immunomodulatory
NAP1L1	12q21.1	0.31	0.06	0.44	0.08	0.25	0.160	0.572	(A) Immunomodulatory
EGR1	5q31.2	0.98	0.73	1.00	0.86	0.25	0.705	0.906	(A) Immunomodulatory
H2BC5	6p22.2	0.46	0.21	0.66	0.36	0.25	0.453	0.797	(A) Immunomodulatory
MAGIX	Xp11.23	0.25	0.01	0.32	0.01	0.25	0.0658	0.462	(A) Immunomodulatory
CUL2	10p11.21	0.25	0.00	0.32	0.01	0.25	0.0642	0.460	(A) Immunomodulatory
ESD	13q14.2	0.28	0.03	0.22	0.06	0.25	0.0166	0.392	(A) Immunomodulatory
ZFP30	19q13.12	0.25	0.00	0.33	0.00	0.25	0.0696	0.466	(A) Immunomodulatory
MTRF1	13q14.11	0.29	0.04	0.29	0.08	0.25	0.0560	0.448	(A) Immunomodulatory
RPL8	8q24.3	0.26	0.01	0.42	0.02	0.25	0.144	0.552	(A) Immunomodulatory
RPL22	1p36.31	0.37	0.12	0.38	0.16	0.25	0.162	0.574	(A) Immunomodulatory
UBE2A	Xq24	0.29	0.04	0.25	0.08	0.25	0.0342	0.429	(A) Immunomodulatory
CILP	15q22.31	0.61	0.36	0.81	0.37	0.25	0.512	0.824	(A) Immunomodulatory
CATIP-AS1	2q35	0.49	0.24	0.60	0.41	0.25	0.473	0.809	(A) Immunomodulatory
FNTA	8p11.21	0.33	0.08	0.32	0.14	0.25	0.113	0.505	(A) Immunomodulatory
SNHG9	16p13.3	0.54	0.30	0.66	0.52	0.25	0.547	0.843	(A) Immunomodulatory
G0S2	1q32.2	0.53	0.29	0.59	0.45	0.25	0.498	0.818	(A) Immunomodulatory
DXO	6p21.33	0.26	0.01	0.27	0.02	0.25	0.0345	0.429	(A) Immunomodulatory
NUTF2	16q22.1	0.32	0.07	0.46	0.12	0.25	0.198	0.609	(A) Immunomodulatory
EMC8	16q24.1	0.28	0.04	0.38	0.06	0.25	0.116	0.507	(A) Immunomodulatory
NBL1	1p36.13	0.43	0.18	0.49	0.31	0.25	0.363	0.742	(A) Immunomodulatory
MEOX1	17q21.31	0.71	0.47	0.55	0.80	0.25	0.660	0.890	(A) Immunomodulatory
ABCA4	1p22.1	0.31	0.07	0.70	0.11	0.25	0.364	0.743	(A) Immunomodulatory
SDR42E1	16q23.3	0.30	0.05	0.46	0.09	0.25	0.187	0.598	(A) Immunomodulatory
HLA-DPA1	6p21.32	0.87	0.62	0.54	0.20	0.25	0.301	0.702	(A) Immunomodulatory
HAR1B	20q13.33	0.53	0.29	0.68	0.33	0.25	0.465	0.805	(A) Immunomodulatory
CCBE1	18q21.32	0.44	0.20	0.46	0.35	0.24	0.386	0.757	(A) Immunomodulatory
ANAPC5	12q24.31	0.28	0.04	0.24	0.06	0.24	0.0290	0.429	(A) Immunomodulatory
ZNF593	1p36.11	0.34	0.09	0.41	0.16	0.24	0.194	0.604	(A) Immunomodulatory
CDC26	9q32	0.25	0.01	0.26	0.01	0.24	0.0320	0.429	(A) Immunomodulatory
PROCR	20q11.22	0.30	0.05	0.32	0.08	0.24	0.0788	0.478	(A) Immunomodulatory
TIAM1-AS1	21q22.11	0.31	0.07	0.38	0.11	0.24	0.160	0.572	(A) Immunomodulatory
AMN1	12p11.21	0.43	0.19	0.37	0.15	0.24	0.154	0.566	(A) Immunomodulatory
