Gene	Cytoband	(A) Basal-Like 1	(B) Mesenchymal	(A) Basal-Like 1	(B) Mesenchymal	Log2 Ratio	p-Value	q-Value	Higher expression in
TMEM62	15q15.2	0.28	0.10	0.40	0.29	0.17	0.354	0.799	(A) Basal-Like 1
KDELR2	7p22.1	0.52	0.35	0.34	0.45	0.17	0.392	0.813	(A) Basal-Like 1
COX20	1q44	0.63	0.46	0.22	0.46	0.17	0.334	0.793	(A) Basal-Like 1
DIRC1	2q32.2	0.33	0.16	0.41	0.47	0.17	0.441	0.831	(A) Basal-Like 1
KCTD3	1q41	0.52	0.34	0.28	0.40	0.17	0.320	0.785	(A) Basal-Like 1
DDX28	16q22.1	0.45	0.27	0.38	0.30	0.17	0.344	0.797	(A) Basal-Like 1
DNAH14	1q42.12	0.72	0.55	0.38	0.47	0.17	0.426	0.825	(A) Basal-Like 1
KATNAL1	13q12.3	0.29	0.11	0.40	0.22	0.17	0.332	0.792	(A) Basal-Like 1
DHX32	10q26.2	0.38	0.21	0.40	0.43	0.17	0.418	0.822	(A) Basal-Like 1
SPTA1	1q23.1	0.19	0.02	0.26	0.06	0.17	0.126	0.700	(A) Basal-Like 1
C21ORF140	21q22.12	0.38	0.21	0.48	0.28	0.17	0.417	0.822	(A) Basal-Like 1
ANKRD20A12P	4	0.28	0.11	0.40	0.22	0.17	0.328	0.789	(A) Basal-Like 1
LTB	6p21.33	0.39	0.21	0.51	0.40	0.17	0.474	0.844	(A) Basal-Like 1
ITFG1-AS1	16q12.1	0.40	0.23	0.57	0.37	0.17	0.748	0.937	(A) Basal-Like 1
ZNF654	3p11.1	0.43	0.25	0.44	0.30	0.17	0.387	0.812	(A) Basal-Like 1
HCG26	6p21.3	0.27	0.10	0.39	0.30	0.17	0.346	0.797	(A) Basal-Like 1
MRPS31	13q14.11	0.19	0.02	0.25	0.05	0.17	0.118	0.697	(A) Basal-Like 1
AXIN1	16p13.3	0.54	0.37	0.34	0.37	0.17	0.351	0.797	(A) Basal-Like 1
NEB	2q23.3	0.48	0.31	0.68	0.48	0.17	0.577	0.883	(A) Basal-Like 1
POU5F1P3	12p13.31	0.42	0.24	0.57	0.42	0.17	0.514	0.860	(A) Basal-Like 1
PTTG1IP	21q22.3	0.37	0.19	0.32	0.31	0.17	0.291	0.768	(A) Basal-Like 1
TRIB1	8q24.13	0.38	0.20	0.59	0.33	0.17	0.501	0.855	(A) Basal-Like 1
CISD2	4q24	0.29	0.11	0.25	0.25	0.17	0.195	0.719	(A) Basal-Like 1
MRPL40	22q11.21	0.40	0.23	0.23	0.42	0.17	0.309	0.779	(A) Basal-Like 1
TNFSF9	19p13.3	0.27	0.10	0.46	0.20	0.17	0.381	0.808	(A) Basal-Like 1
CCIN	9p13.3	0.46	0.28	0.52	0.38	0.17	0.475	0.844	(A) Basal-Like 1
QNG1	9q21.32	0.22	0.04	0.22	0.13	0.17	0.0961	0.692	(A) Basal-Like 1
VPS28	8q24.3	0.55	0.38	0.35	0.44	0.17	0.393	0.813	(A) Basal-Like 1
DHFR2	3q11.2	0.35	0.17	0.46	0.31	0.17	0.414	0.821	(A) Basal-Like 1
MYLK-AS1	3q21.1	0.44	0.27	0.49	0.53	0.17	0.512	0.859	(A) Basal-Like 1
MGAT2	14q21.3	0.24	0.07	0.41	0.20	0.17	0.330	0.791	(A) Basal-Like 1
CYP2S1	19q13.2	0.27	0.10	0.47	0.20	0.17	0.386	0.812	(A) Basal-Like 1
RGL3	19p13.2	0.34	0.17	0.69	0.32	0.17	0.556	0.877	(A) Basal-Like 1
GPR132	14q32.33	0.18	0.01	0.36	0.03	0.17	0.254	0.752	(A) Basal-Like 1
ISG20L2	1q23.1	0.60	0.43	0.30	0.40	0.17	0.337	0.795	(A) Basal-Like 1
CNTN6	3p26.3	0.56	0.39	0.55	0.40	0.17	0.568	0.880	(A) Basal-Like 1
IQCH-AS1	15q23	0.55	0.38	0.38	0.52	0.17	0.453	0.835	(A) Basal-Like 1
CYB5R2	11p15.4	0.78	0.61	0.71	0.62	0.17	0.620	0.894	(A) Basal-Like 1
APTR	7q11.23	0.44	0.26	0.48	0.40	0.17	0.458	0.836	(A) Basal-Like 1
DHRS12	13q14.3	0.26	0.09	0.33	0.17	0.17	0.235	0.742	(A) Basal-Like 1
LINC01485	5q35.2	0.24	0.07	0.59	0.11	0.17	0.512	0.859	(A) Basal-Like 1
DSE	6q22.1	0.25	0.08	0.45	0.17	0.17	0.367	0.803	(A) Basal-Like 1
SRPK3	Xq28	0.75	0.58	0.46	0.69	0.17	0.575	0.883	(A) Basal-Like 1
CHCHD4	3p25.1	0.60	0.43	0.40	0.50	0.17	0.458	0.836	(A) Basal-Like 1
BCL2L14	12p13.2	0.48	0.31	0.63	0.55	0.17	0.575	0.883	(A) Basal-Like 1
MICOS10	1p36.13	0.40	0.23	0.40	0.40	0.17	0.410	0.820	(A) Basal-Like 1
DPH7	9q34.3	0.32	0.15	0.44	0.21	0.17	0.365	0.803	(A) Basal-Like 1
SOCS6	18q22.2	0.33	0.16	0.45	0.20	0.17	0.373	0.805	(A) Basal-Like 1
TRIM59	3q25.33	0.43	0.26	0.48	0.40	0.17	0.461	0.837	(A) Basal-Like 1
LSM12	17q21.31	0.37	0.20	0.34	0.37	0.17	0.351	0.797	(A) Basal-Like 1
TOR1B	9q34.11	0.26	0.09	0.35	0.22	0.17	0.281	0.763	(A) Basal-Like 1
GINS1	20p11.21	0.57	0.39	0.62	0.47	0.17	0.553	0.877	(A) Basal-Like 1
SDAD1-AS1	4q21.1	0.28	0.11	0.39	0.21	0.17	0.393	0.813	(A) Basal-Like 1
CARD16	11q22.3	0.26	0.09	0.40	0.13	0.17	0.313	0.781	(A) Basal-Like 1
EMP1	12p13.1	0.61	0.44	0.81	0.58	0.17	0.645	0.906	(A) Basal-Like 1
LINC01559	12p13.1	1.00	0.82	0.22	0.96	0.17	0.752	0.938	(A) Basal-Like 1
TASL	Xp21.2	0.24	0.07	0.25	0.14	0.17	0.134	0.701	(A) Basal-Like 1
CTAGE4	7q35	0.60	0.43	0.64	0.54	0.17	0.581	0.883	(A) Basal-Like 1
DNAJA1	9p21.1	0.42	0.25	0.47	0.28	0.17	0.409	0.820	(A) Basal-Like 1
MMP24	20q11.22	0.41	0.24	0.53	0.42	0.17	0.499	0.854	(A) Basal-Like 1
EML2	19q13.32	0.35	0.17	0.55	0.26	0.17	0.464	0.839	(A) Basal-Like 1
KIR3DL2	19q13.42	0.23	0.06	0.39	0.11	0.17	0.310	0.780	(A) Basal-Like 1
RC3H2	9q33.2	0.23	0.06	0.28	0.13	0.17	0.166	0.714	(A) Basal-Like 1
TFAP2A	6p24.3	0.55	0.38	0.53	0.48	0.17	0.516	0.861	(A) Basal-Like 1
SLC10A3	Xq28	0.37	0.20	0.41	0.21	0.17	0.339	0.796	(A) Basal-Like 1
MINPP1	10q23.2	0.40	0.23	0.47	0.40	0.17	0.455	0.835	(A) Basal-Like 1
CFAP418	8q22.1	0.47	0.30	0.32	0.37	0.17	0.339	0.796	(A) Basal-Like 1
DUT	15q21.1	0.33	0.16	0.45	0.26	0.17	0.389	0.812	(A) Basal-Like 1
ZNF492	19p12	0.96	0.79	0.54	0.64	0.17	0.571	0.881	(A) Basal-Like 1
OTUD1	10p12.2	0.28	0.11	0.38	0.27	0.17	0.334	0.792	(A) Basal-Like 1
H2BC7	6p22.2	0.75	0.57	0.80	0.65	0.17	0.652	0.908	(A) Basal-Like 1
TOP2A	17q21.2	0.69	0.52	0.41	0.52	0.17	0.476	0.845	(A) Basal-Like 1
HAPSTR2	Xq27.1	0.20	0.03	0.41	0.04	0.17	0.463	0.839	(A) Basal-Like 1
PLCL1	2q33.1	0.40	0.22	0.59	0.27	0.17	0.501	0.855	(A) Basal-Like 1
HSD17B8	6p21.32	0.33	0.16	0.49	0.37	0.17	0.460	0.837	(A) Basal-Like 1
ERAP1	5q15	0.23	0.05	0.39	0.16	0.17	0.307	0.778	(A) Basal-Like 1
NOC3L	10q23.33	0.28	0.11	0.34	0.21	0.17	0.270	0.758	(A) Basal-Like 1
RNASEH1-DT	2p25.3	0.63	0.46	0.56	0.38	0.17	0.504	0.856	(A) Basal-Like 1
SPECC1L-ADORA2A	22q11.23	0.44	0.27	0.52	0.55	0.17	0.638	0.903	(A) Basal-Like 1
SCARNA10	12p13.31	0.49	0.32	0.58	0.51	0.17	0.661	0.910	(A) Basal-Like 1
CTAGE11P	13q22.2	0.26	0.09	0.22	0.20	0.17	0.274	0.758	(A) Basal-Like 1
LINC00276	2p24.3	0.37	0.20	0.42	0.34	0.17	0.580	0.883	(A) Basal-Like 1
OSR2	8q22.2	0.24	0.07	0.56	0.16	0.17	0.462	0.838	(A) Basal-Like 1
AATF	17q12	0.43	0.26	0.54	0.31	0.17	0.474	0.844	(A) Basal-Like 1
TMEM183BP	3q25.1	0.61	0.44	0.49	0.45	0.17	0.486	0.850	(A) Basal-Like 1
MACROD2	20p12.1	0.43	0.26	1.03	0.45	0.17	0.693	0.922	(A) Basal-Like 1
OR2B11	1q44	0.61	0.44	0.32	0.13	0.17	0.475	0.845	(A) Basal-Like 1
XPR1	1q25.3	0.26	0.09	0.28	0.20	0.17	0.194	0.719	(A) Basal-Like 1
GRAP2	22q13.1	0.20	0.03	0.35	0.10	0.17	0.255	0.753	(A) Basal-Like 1
CACNG6	19q13.42	0.29	0.11	0.42	0.23	0.17	0.437	0.829	(A) Basal-Like 1
INTS7	1q32.3	0.44	0.27	0.32	0.28	0.17	0.292	0.768	(A) Basal-Like 1
CD6	11q12.2	0.21	0.04	0.36	0.11	0.17	0.266	0.756	(A) Basal-Like 1
IDNK	9q21.32	0.19	0.02	0.39	0.05	0.17	0.300	0.773	(A) Basal-Like 1
COG2	1q42.2	0.32	0.15	0.27	0.25	0.17	0.217	0.733	(A) Basal-Like 1
SLC35E1	19p13.11	0.32	0.15	0.42	0.27	0.17	0.378	0.807	(A) Basal-Like 1
HLA-V	6p22.1	0.72	0.55	0.79	0.75	0.17	0.678	0.917	(A) Basal-Like 1
NOB1	16q22.1	0.40	0.23	0.28	0.32	0.17	0.278	0.761	(A) Basal-Like 1
PEX1	7q21.2	0.34	0.17	0.30	0.26	0.17	0.259	0.755	(A) Basal-Like 1
CARS1	11p15.4	0.22	0.05	0.29	0.08	0.17	0.174	0.714	(A) Basal-Like 1
MSANTD3	9q31.1	0.52	0.35	0.35	0.51	0.17	0.445	0.832	(A) Basal-Like 1
TP53INP1	8q22.1	0.33	0.16	0.32	0.27	0.17	0.281	0.763	(A) Basal-Like 1
SLFN14	17q12	0.17	0.00	0.39	0.00	0.17	0.290	0.768	(A) Basal-Like 1
LGR4-AS1	11p14.1	0.18	0.01	0.36	0.02	0.17	0.412	0.821	(A) Basal-Like 1
GPR107	9q34.11	0.38	0.21	0.36	0.28	0.17	0.321	0.786	(A) Basal-Like 1
APOBEC2	6p21.1	0.32	0.15	0.42	0.31	0.17	0.386	0.812	(A) Basal-Like 1
ARMC2-AS1	6q21	0.48	0.31	0.57	0.43	0.17	0.684	0.919	(A) Basal-Like 1
LINC01376	2p24.2-p24.1	0.70	0.53	0.50	0.58	0.17	0.539	0.870	(A) Basal-Like 1
OR9A4	7q34	0.36	0.19	0.31	0.26	0.17	0.474	0.844	(A) Basal-Like 1
HS1BP3	2p24.1	0.43	0.26	0.39	0.28	0.17	0.357	0.799	(A) Basal-Like 1
ATF6	1q23.3	0.31	0.14	0.33	0.31	0.17	0.319	0.785	(A) Basal-Like 1
VIM-AS1	10p13	0.87	0.70	0.21	0.52	0.17	0.392	0.813	(A) Basal-Like 1
SDHB	1p36.13	0.28	0.11	0.36	0.16	0.17	0.284	0.765	(A) Basal-Like 1
KIFC2	8q24.3	0.90	0.73	0.51	0.55	0.17	0.538	0.870	(A) Basal-Like 1
RNF44	5q35.2	0.27	0.10	0.34	0.20	0.17	0.275	0.759	(A) Basal-Like 1
PSTPIP1	15q24.3	0.27	0.10	0.42	0.20	0.17	0.359	0.801	(A) Basal-Like 1
SEC1P	19q13.33	0.39	0.22	0.67	0.33	0.17	0.558	0.877	(A) Basal-Like 1
GNB1L	22q11.21	0.45	0.28	0.39	0.36	0.17	0.388	0.812	(A) Basal-Like 1
TGFB2-OT1	1q41	0.77	0.60	0.87	0.76	0.17	0.692	0.922	(A) Basal-Like 1
HSPH1	13q12.3	0.36	0.19	0.42	0.37	0.17	0.420	0.823	(A) Basal-Like 1
EIF3C	16p11.2	0.36	0.19	0.36	0.33	0.17	0.349	0.797	(A) Basal-Like 1
RMI2	16p13.13	0.30	0.13	0.40	0.15	0.17	0.329	0.790	(A) Basal-Like 1
GTF3A	13q12.2	0.39	0.22	0.47	0.39	0.17	0.458	0.836	(A) Basal-Like 1
MMP25-AS1	16p13.3	0.38	0.21	0.35	0.28	0.17	0.322	0.786	(A) Basal-Like 1
SUPV3L1	10q22.1	0.56	0.39	0.35	0.54	0.17	0.461	0.837	(A) Basal-Like 1
REL	2p16.1	0.24	0.07	0.35	0.20	0.17	0.287	0.766	(A) Basal-Like 1
RELB	19q13.32	0.30	0.13	0.34	0.32	0.17	0.332	0.791	(A) Basal-Like 1
THNSL1	10p12.1	0.62	0.45	0.50	0.41	0.17	0.484	0.850	(A) Basal-Like 1
PCOLCE2	3q23	0.79	0.62	0.88	0.69	0.17	0.686	0.920	(A) Basal-Like 1
RPL30	8q22.2	0.64	0.47	0.30	0.45	0.17	0.384	0.810	(A) Basal-Like 1
CENPM	22q13.2	0.82	0.65	0.61	0.50	0.17	0.567	0.880	(A) Basal-Like 1
SMYD3	1q44	0.43	0.26	0.51	0.54	0.17	0.535	0.869	(A) Basal-Like 1
RB1CC1	8q11.23	0.68	0.51	0.43	0.42	0.17	0.445	0.832	(A) Basal-Like 1
LINC00467	1q32.3	0.36	0.19	0.43	0.30	0.17	0.400	0.817	(A) Basal-Like 1
HNF4G	8q21.13	1.34	1.18	0.74	0.93	0.17	0.693	0.922	(A) Basal-Like 1
GSDMD	8q24.3	0.43	0.26	0.47	0.38	0.17	0.455	0.835	(A) Basal-Like 1
UBXN6	19p13	0.24	0.07	0.32	0.19	0.17	0.251	0.751	(A) Basal-Like 1
C10ORF95	10q24.32	0.44	0.27	0.57	0.34	0.17	0.510	0.858	(A) Basal-Like 1
GATA6-AS1	18q11.2	1.07	0.90	1.03	0.91	0.17	0.739	0.934	(A) Basal-Like 1
ITLN1	1q23.3	0.34	0.17	0.48	0.29	0.17	0.628	0.898	(A) Basal-Like 1
H2AC20	1q21.2	0.60	0.43	0.31	0.64	0.17	0.504	0.856	(A) Basal-Like 1
EPB41L3	18p11.31	0.25	0.08	0.59	0.24	0.17	0.498	0.854	(A) Basal-Like 1
TMCC3	12q22	0.32	0.15	0.42	0.43	0.17	0.450	0.834	(A) Basal-Like 1
LINC01281	Xp11.4	0.40	0.23	0.64	0.24	0.17	0.568	0.880	(A) Basal-Like 1
WEE2-AS1	7q34	0.50	0.34	0.59	0.33	0.17	0.520	0.862	(A) Basal-Like 1
PML	15q24.1	0.20	0.03	0.25	0.08	0.17	0.130	0.700	(A) Basal-Like 1
ZMYM1	1p34.3	0.41	0.25	0.35	0.24	0.17	0.305	0.776	(A) Basal-Like 1
TGFA	2p13.3	0.50	0.34	0.46	0.44	0.17	0.471	0.842	(A) Basal-Like 1
MPC1	6q27	0.54	0.37	0.45	0.41	0.17	0.457	0.835	(A) Basal-Like 1
CSF2RB	22q12.3	0.33	0.17	0.44	0.50	0.17	0.490	0.852	(A) Basal-Like 1
TASOR	3p14.3	0.29	0.12	0.32	0.19	0.17	0.249	0.750	(A) Basal-Like 1
RPL19	17q12	0.34	0.17	0.32	0.33	0.17	0.330	0.790	(A) Basal-Like 1
CHRNA6	8p11.21	0.17	0.00	0.40	0.01	0.17	0.311	0.781	(A) Basal-Like 1
CHMP5	9p13.3	0.37	0.21	0.30	0.31	0.17	0.301	0.774	(A) Basal-Like 1
FOXO4	Xq13.1	0.22	0.05	0.27	0.14	0.17	0.169	0.714	(A) Basal-Like 1
MSANTD1	4p16.3	0.50	0.33	0.38	0.55	0.17	0.486	0.850	(A) Basal-Like 1
LINC01843	5q31.1	0.59	0.42	0.70	0.55	0.17	0.740	0.935	(A) Basal-Like 1
PDCL	9q33.2	0.33	0.16	0.37	0.30	0.17	0.356	0.799	(A) Basal-Like 1
KIF26B	1q44	0.63	0.46	0.65	0.76	0.17	0.644	0.906	(A) Basal-Like 1
NFKBIA	14q13.2	0.25	0.08	0.40	0.20	0.17	0.341	0.797	(A) Basal-Like 1
ZBED4	22q13.33	0.61	0.44	0.46	0.59	0.17	0.533	0.868	(A) Basal-Like 1
CCL2	17q12	0.32	0.15	0.36	0.45	0.17	0.421	0.823	(A) Basal-Like 1
ATF4	22q13.1	0.44	0.28	0.46	0.33	0.17	0.438	0.830	(A) Basal-Like 1
NELFCD	20q13.32	0.42	0.25	0.45	0.23	0.17	0.396	0.816	(A) Basal-Like 1
RPS19BP1	22q13.1	0.46	0.29	0.43	0.38	0.17	0.433	0.828	(A) Basal-Like 1
RABEPK	9q33.3	0.34	0.17	0.30	0.23	0.17	0.244	0.748	(A) Basal-Like 1
EDEM2	20q11.22	0.28	0.11	0.32	0.23	0.17	0.266	0.756	(A) Basal-Like 1
WDR76	15q15.3	0.48	0.32	0.36	0.39	0.17	0.390	0.812	(A) Basal-Like 1
PALB2	16p12.2	0.33	0.16	0.29	0.28	0.17	0.269	0.757	(A) Basal-Like 1
GIMAP4	7q36.1	0.20	0.03	0.27	0.09	0.17	0.164	0.714	(A) Basal-Like 1
LINC00519	14q22.1	0.28	0.11	0.47	0.26	0.17	0.426	0.825	(A) Basal-Like 1
PSAT1	9q21.2	0.36	0.20	0.67	0.36	0.17	0.570	0.881	(A) Basal-Like 1
SEPTIN4	17q22	0.40	0.24	0.42	0.39	0.17	0.436	0.829	(A) Basal-Like 1
GBP6	1p22.2	0.39	0.22	0.61	0.36	0.17	0.537	0.870	(A) Basal-Like 1
CD300LF	17q25.1	0.20	0.04	0.30	0.11	0.17	0.202	0.721	(A) Basal-Like 1
BLK	8p23.1	0.26	0.09	0.68	0.27	0.17	0.560	0.877	(A) Basal-Like 1
ENOX2	Xq26.1	0.32	0.15	0.16	0.21	0.17	0.0941	0.692	(A) Basal-Like 1
IMP3	15q24.2	0.36	0.19	0.35	0.26	0.17	0.318	0.785	(A) Basal-Like 1
RPL36A-HNRNPH2	Xq22.1	0.82	0.65	0.59	0.54	0.17	0.573	0.882	(A) Basal-Like 1
PABPN1L	16q24.3	0.31	0.14	0.26	0.28	0.17	0.424	0.823	(A) Basal-Like 1
ADTRP	6p24.1	0.25	0.09	0.45	0.19	0.17	0.385	0.811	(A) Basal-Like 1
POGK	1q24.1	0.69	0.53	0.59	0.41	0.17	0.541	0.871	(A) Basal-Like 1
POLR1D	13q12.2	0.31	0.14	0.37	0.20	0.17	0.309	0.779	(A) Basal-Like 1
TNIP1	5q33.1	0.22	0.05	0.45	0.11	0.17	0.373	0.805	(A) Basal-Like 1
PRPF4	9q32	0.36	0.20	0.30	0.31	0.17	0.299	0.773	(A) Basal-Like 1
CDC16	13q34	0.41	0.24	0.44	0.44	0.17	0.467	0.840	(A) Basal-Like 1
ZNF267	16p11.2	0.26	0.09	0.36	0.19	0.17	0.305	0.776	(A) Basal-Like 1
DPEP3	16q22.1	0.24	0.08	0.22	0.19	0.17	0.182	0.714	(A) Basal-Like 1
ZNF561-AS1	19p13.2	0.45	0.28	0.38	0.35	0.17	0.389	0.812	(A) Basal-Like 1
MEF2A	15q26.3	0.47	0.31	0.53	0.48	0.17	0.533	0.868	(A) Basal-Like 1
MFSD6	2q32.2	0.34	0.18	0.43	0.32	0.17	0.413	0.821	(A) Basal-Like 1
SKA3	13q12.11	0.55	0.39	0.41	0.51	0.17	0.486	0.851	(A) Basal-Like 1
SRD5A3	4q12	0.49	0.32	0.65	0.56	0.17	0.602	0.889	(A) Basal-Like 1
MORF4L2	Xq22.2	0.34	0.18	0.23	0.28	0.16	0.218	0.733	(A) Basal-Like 1
LUZP6	7q33	0.36	0.20	0.37	0.39	0.16	0.405	0.819	(A) Basal-Like 1
MTPN	7q33	0.36	0.20	0.37	0.39	0.16	0.405	0.819	(A) Basal-Like 1
C2CD2	21q22.3	0.39	0.22	0.42	0.32	0.16	0.411	0.821	(A) Basal-Like 1
KNSTRN	15q15.1	0.52	0.36	0.40	0.45	0.16	0.453	0.835	(A) Basal-Like 1
KCNJ2-AS1	17q24.3	0.45	0.28	0.54	0.70	0.16	0.603	0.890	(A) Basal-Like 1
TSPAN32	11p15.5	0.18	0.01	0.27	0.04	0.16	0.161	0.714	(A) Basal-Like 1
KRT7	12q13.13	0.79	0.63	0.62	0.55	0.16	0.589	0.886	(A) Basal-Like 1
FOXP3	Xp11.23	0.34	0.18	0.52	0.40	0.16	0.502	0.855	(A) Basal-Like 1
SNRNP40	1p35.2	0.29	0.13	0.25	0.34	0.16	0.281	0.763	(A) Basal-Like 1
STAP2	19p13.3	0.49	0.32	0.69	0.43	0.16	0.591	0.887	(A) Basal-Like 1
SLC9A7P1	12q23.1	0.73	0.57	0.73	0.67	0.16	0.652	0.908	(A) Basal-Like 1
FSTL3	19p13.3	0.25	0.09	0.39	0.26	0.16	0.359	0.801	(A) Basal-Like 1
SLC38A1	12q13.11	0.40	0.23	0.35	0.35	0.16	0.364	0.803	(A) Basal-Like 1
RAB37	17q25.1	0.18	0.01	0.34	0.04	0.16	0.252	0.751	(A) Basal-Like 1
LRRC27	10q26.3	0.46	0.30	0.42	0.46	0.16	0.469	0.841	(A) Basal-Like 1
RASGRP2	11q13.1	0.26	0.10	0.48	0.25	0.16	0.431	0.827	(A) Basal-Like 1
VMAC	19p13.3	0.39	0.23	0.36	0.27	0.16	0.339	0.796	(A) Basal-Like 1
RAB4B-EGLN2	19q13.2	0.49	0.32	0.64	0.43	0.16	0.625	0.897	(A) Basal-Like 1
TCF15	20p13	0.53	0.37	0.72	0.72	0.16	0.673	0.915	(A) Basal-Like 1
P4HTM	3p21.31	0.23	0.06	0.29	0.12	0.16	0.200	0.721	(A) Basal-Like 1
GALE	1p36.11	0.50	0.33	0.41	0.41	0.16	0.440	0.831	(A) Basal-Like 1
UFM1	13q13.3	0.27	0.11	0.36	0.32	0.16	0.360	0.801	(A) Basal-Like 1
NDUFA11	19p13.3	0.55	0.39	0.38	0.39	0.16	0.412	0.821	(A) Basal-Like 1
GCNT7	20q13.31	0.29	0.12	0.32	0.19	0.16	0.295	0.771	(A) Basal-Like 1
ATP4A	19q13.12	0.18	0.02	0.36	0.02	0.16	0.434	0.828	(A) Basal-Like 1
PHF20	20q11.22-q11.23	0.19	0.03	0.33	0.09	0.16	0.244	0.748	(A) Basal-Like 1
PARN	16p13.12	0.48	0.32	0.24	0.29	0.16	0.237	0.743	(A) Basal-Like 1
CMTM2	16q21	0.26	0.09	0.51	0.26	0.16	0.462	0.838	(A) Basal-Like 1
TMEM210	9q34.3	0.41	0.25	0.82	0.43	0.16	0.747	0.937	(A) Basal-Like 1
RNASEH1	2p25.3	0.53	0.36	0.33	0.34	0.16	0.350	0.797	(A) Basal-Like 1
KIAA1958	9q32	0.46	0.30	0.43	0.36	0.16	0.432	0.827	(A) Basal-Like 1
PHF11	13q14.2	0.33	0.16	0.43	0.27	0.16	0.401	0.817	(A) Basal-Like 1
NUDT17	1q21.1	0.64	0.48	0.54	0.52	0.16	0.552	0.876	(A) Basal-Like 1
PYCARD	16p11.2	0.44	0.27	0.56	0.52	0.16	0.561	0.878	(A) Basal-Like 1
ABLIM2	4p16.1	0.64	0.48	0.62	0.51	0.16	0.584	0.884	(A) Basal-Like 1
FBXO27	19q13.2	0.74	0.57	0.72	0.70	0.16	0.656	0.909	(A) Basal-Like 1
ACP5	19p13.2	0.17	0.01	0.33	0.03	0.16	0.240	0.744	(A) Basal-Like 1
LINC01116	2q31.1	0.27	0.11	0.50	0.22	0.16	0.445	0.832	(A) Basal-Like 1
NGRN	15q26.1	0.38	0.21	0.38	0.29	0.16	0.365	0.803	(A) Basal-Like 1
YDJC	22q11.21	0.52	0.36	0.37	0.45	0.16	0.439	0.830	(A) Basal-Like 1
KATNA1	6q25.1	0.30	0.13	0.33	0.18	0.16	0.265	0.756	(A) Basal-Like 1
AP1M2	19p13.2	0.70	0.54	0.79	0.44	0.16	0.635	0.901	(A) Basal-Like 1
SAMSN1	21q11.2	0.19	0.02	0.16	0.07	0.16	0.0355	0.692	(A) Basal-Like 1
QPRT	16p11.2	0.35	0.19	0.54	0.38	0.16	0.513	0.860	(A) Basal-Like 1
NEK5	13q14.3	0.53	0.36	0.44	0.58	0.16	0.536	0.869	(A) Basal-Like 1
LINC01163	10q26.2	0.32	0.16	0.64	0.43	0.16	0.667	0.912	(A) Basal-Like 1
GOLGA1	9q33.3	0.17	0.01	0.30	0.03	0.16	0.203	0.721	(A) Basal-Like 1
LOC388813	21q11.2	0.31	0.14	0.36	0.32	0.16	0.449	0.834	(A) Basal-Like 1
IER3IP1	18q21.1	0.50	0.33	0.37	0.32	0.16	0.378	0.806	(A) Basal-Like 1
OSGIN2	8q21.3	0.75	0.58	0.41	0.66	0.16	0.557	0.877	(A) Basal-Like 1
RNF126P1	17q22	0.65	0.49	0.74	0.69	0.16	0.822	0.958	(A) Basal-Like 1
CYBA	16q24.2	0.25	0.08	0.22	0.15	0.16	0.126	0.700	(A) Basal-Like 1
NOLC1	10q24.32	0.50	0.34	0.43	0.41	0.16	0.462	0.838	(A) Basal-Like 1
KRT18	12q13.13	0.27	0.11	0.35	0.31	0.16	0.354	0.799	(A) Basal-Like 1
SLC8A1	2p22.1	0.21	0.05	0.29	0.15	0.16	0.217	0.732	(A) Basal-Like 1
GAL3ST1	22q12.2	0.71	0.55	0.82	0.63	0.16	0.673	0.915	(A) Basal-Like 1
HCN3	1q22	0.40	0.23	0.48	0.32	0.16	0.454	0.835	(A) Basal-Like 1
GNG12	1p31.3	0.18	0.02	0.27	0.07	0.16	0.172	0.714	(A) Basal-Like 1
TRMT1L	1q25.3	0.35	0.19	0.44	0.24	0.16	0.400	0.817	(A) Basal-Like 1
RHBDL1	16p13.3	0.73	0.57	0.91	0.68	0.16	0.701	0.924	(A) Basal-Like 1
ANGEL2	1q32.3	0.31	0.15	0.32	0.27	0.16	0.304	0.776	(A) Basal-Like 1
SNX24	5q23.2	0.24	0.08	0.31	0.21	0.16	0.266	0.757	(A) Basal-Like 1
OR2H2	6p22.1	0.82	0.66	0.64	0.93	0.16	0.850	0.965	(A) Basal-Like 1
MFSD12	19p13.3	0.42	0.26	0.33	0.33	0.16	0.351	0.798	(A) Basal-Like 1
TIAM1	21q22.11	0.39	0.23	0.50	0.36	0.16	0.484	0.850	(A) Basal-Like 1
SPINK1	5q32	0.46	0.30	0.67	0.67	0.16	0.685	0.919	(A) Basal-Like 1
GLOD4	17p13.3	0.27	0.11	0.26	0.13	0.16	0.176	0.714	(A) Basal-Like 1
ANKRD36BP1	1q24.2	0.84	0.68	0.56	0.61	0.16	0.592	0.887	(A) Basal-Like 1
RABL2A	2q14.1	0.30	0.14	0.36	0.32	0.16	0.365	0.803	(A) Basal-Like 1
LINC01480	19q13.2	0.31	0.15	0.45	0.45	0.16	0.539	0.870	(A) Basal-Like 1
CLEC2D	12p13.31	0.22	0.06	0.40	0.16	0.16	0.348	0.797	(A) Basal-Like 1
HLA-L	6p22.1	0.35	0.18	0.47	0.48	0.16	0.510	0.858	(A) Basal-Like 1
CCR5AS	3p21.31	0.21	0.05	0.28	0.13	0.16	0.197	0.720	(A) Basal-Like 1
IL18RAP	2q12.1	0.23	0.06	0.43	0.13	0.16	0.372	0.805	(A) Basal-Like 1
