Gene	Cytoband	(A) Basal-Like 1	(B) Mesenchymal	(A) Basal-Like 1	(B) Mesenchymal	Log2 Ratio	p-Value	q-Value	Higher expression in
ZIM2-AS1	19q13.43	1.43	0.52	1.15	0.64	0.91	0.123	0.697	(A) Basal-Like 1
RBAKDN	7p22.1	1.68	0.77	1.04	0.92	0.90	0.131	0.701	(A) Basal-Like 1
LINC00706	10p14	1.37	0.47	1.09	0.93	0.90	0.224	0.737	(A) Basal-Like 1
VN1R5	1q44	1.14	0.26	0.47	0.59	0.88	0.0101	0.692	(A) Basal-Like 1
DPY19L2P1	7p14.2	1.39	0.51	0.91	0.87	0.88	0.158	0.712	(A) Basal-Like 1
RASGEF1C	5q35.3	1.55	0.67	1.09	0.83	0.88	0.104	0.692	(A) Basal-Like 1
MIR924HG	18q12.2-q12.3	1.33	0.46	0.28	0.66	0.87	4.017e-3	0.692	(A) Basal-Like 1
LINC00968	8q12.1	0.98	0.11	0.97	0.33	0.87	0.0560	0.692	(A) Basal-Like 1
PRSS12	4q26	1.04	0.17	0.91	0.34	0.87	0.0456	0.692	(A) Basal-Like 1
LAX1	1q32.1	0.88	0.01	0.72	0.03	0.87	0.0187	0.692	(A) Basal-Like 1
CHIT1	1q32.1	0.92	0.06	0.88	0.15	0.87	0.0408	0.692	(A) Basal-Like 1
LHFPL5	6p21.31	1.37	0.51	0.30	0.97	0.86	0.0821	0.692	(A) Basal-Like 1
CXCL10	4q21.1	0.95	0.10	0.76	0.29	0.86	0.0244	0.692	(A) Basal-Like 1
BSPRY	9q32	1.21	0.36	0.68	0.57	0.85	0.0203	0.692	(A) Basal-Like 1
MZB1	5q31.2	0.98	0.13	0.87	0.29	0.85	0.0412	0.692	(A) Basal-Like 1
IL23A	12q13.3	0.86	0.01	0.67	0.03	0.85	0.0155	0.692	(A) Basal-Like 1
PRSS33	16p13.3	2.22	1.37	1.05	1.06	0.85	0.134	0.701	(A) Basal-Like 1
LINC01134	1p36.32	0.92	0.07	0.66	0.17	0.85	0.0237	0.692	(A) Basal-Like 1
