Gene	Cytoband	(A) Immunomodulatory	(B) Mesenchymal	(A) Immunomodulatory	(B) Mesenchymal	Log2 Ratio	p-Value	q-Value	Higher expression in
TLR10	4p14	1.26	0.03	0.32	0.08	1.23	6.822e-6	1.993e-3	(A) Immunomodulatory
PLAC8	4q21.22	1.52	0.23	0.40	0.38	1.29	6.947e-6	2.000e-3	(A) Immunomodulatory
PIM2	Xp11.23	1.53	0.14	0.44	0.32	1.39	7.148e-6	2.028e-3	(A) Immunomodulatory
CCL4	17q12	1.37	0.06	0.38	0.15	1.32	7.664e-6	2.143e-3	(A) Immunomodulatory
CORO1A	16p11.2	1.22	0.01	0.30	0.03	1.21	8.452e-6	2.330e-3	(A) Immunomodulatory
GIMAP5	7q36.1	1.16	0.09	0.34	0.19	1.07	9.089e-6	2.471e-3	(A) Immunomodulatory
ABCD2	12q12	1.04	0.07	0.31	0.16	0.97	9.525e-6	2.519e-3	(A) Immunomodulatory
GZMM	19p13.3	1.35	0.01	0.34	0.03	1.34	9.746e-6	2.544e-3	(A) Immunomodulatory
CYTIP	2q24.1	1.41	0.04	0.38	0.11	1.38	9.967e-6	2.567e-3	(A) Immunomodulatory
USP30-AS1	12q24.11	1.21	0.10	0.37	0.30	1.11	1.182e-5	3.006e-3	(A) Immunomodulatory
SIT1	9p13.3	1.28	0.00	0.33	0.01	1.28	1.210e-5	3.037e-3	(A) Immunomodulatory
RAB37	17q25.1	1.10	0.01	0.29	0.04	1.09	1.307e-5	3.198e-3	(A) Immunomodulatory
SELL	1q24.2	1.48	0.03	0.40	0.07	1.46	1.369e-5	3.309e-3	(A) Immunomodulatory
LAP3	4p15.32	0.90	0.05	0.27	0.10	0.85	1.420e-5	3.353e-3	(A) Immunomodulatory
IL23A	12q13.3	1.04	0.01	0.28	0.03	1.03	1.424e-5	3.353e-3	(A) Immunomodulatory
GIMAP7	7q36.1	1.13	0.07	0.34	0.16	1.06	1.439e-5	3.353e-3	(A) Immunomodulatory
GBP1	1p22.2	1.26	0.20	0.24	0.40	1.05	1.482e-5	3.372e-3	(A) Immunomodulatory
CD3E	11q23.3	1.37	0.04	0.40	0.11	1.34	1.624e-5	3.611e-3	(A) Immunomodulatory
HLA-DRB1	6p21.32	1.05	0.14	0.31	0.28	0.91	1.675e-5	3.683e-3	(A) Immunomodulatory
PTPRCAP	11q13.2	1.45	0.04	0.41	0.09	1.41	1.770e-5	3.850e-3	(A) Immunomodulatory
CD38	4p15.32	1.61	0.01	0.45	0.04	1.60	1.876e-5	4.034e-3	(A) Immunomodulatory
CALHM6	6q22.1	1.43	0.27	0.36	0.42	1.15	2.069e-5	4.353e-3	(A) Immunomodulatory
FCRL5	1q23.1	1.45	0.07	0.44	0.16	1.38	2.075e-5	4.353e-3	(A) Immunomodulatory
IL3RA	Xp22.3 and Yp13.3	0.96	0.15	0.28	0.26	0.81	2.090e-5	4.353e-3	(A) Immunomodulatory
CD7	17q25.3	1.33	0.08	0.43	0.20	1.25	2.166e-5	4.463e-3	(A) Immunomodulatory
BIRC3	11q22.2	1.25	0.02	0.36	0.04	1.24	2.204e-5	4.493e-3	(A) Immunomodulatory
SLA2	20q11.23	1.28	0.02	0.37	0.05	1.26	2.237e-5	4.515e-3	(A) Immunomodulatory
CXCR5	11q23.3	1.54	0.05	0.48	0.16	1.49	2.265e-5	4.525e-3	(A) Immunomodulatory
SLAMF7	1q23.3	1.60	0.09	0.52	0.23	1.52	2.362e-5	4.666e-3	(A) Immunomodulatory
IKZF3	17q12-q21.1	1.28	0.04	0.40	0.13	1.24	2.391e-5	4.666e-3	(A) Immunomodulatory
MIR155HG	21q21.3	1.20	0.03	0.35	0.07	1.18	2.423e-5	4.666e-3	(A) Immunomodulatory
CXCR6	3p21.31	1.42	0.16	0.46	0.35	1.27	2.431e-5	4.666e-3	(A) Immunomodulatory
BTLA	3q13.2	1.41	0.00	0.41	0.00	1.41	2.489e-5	4.695e-3	(A) Immunomodulatory
CD53	1p13.3	1.05	0.02	0.31	0.07	1.02	2.515e-5	4.695e-3	(A) Immunomodulatory
MS4A1	11q12.2	1.48	0.07	0.48	0.22	1.41	2.567e-5	4.695e-3	(A) Immunomodulatory
HCST	19q13.12	1.12	0.10	0.36	0.21	1.02	2.569e-5	4.695e-3	(A) Immunomodulatory
GZMK	5q11.2	1.27	0.04	0.40	0.12	1.23	2.591e-5	4.695e-3	(A) Immunomodulatory
UBD	6p22.1	1.63	0.10	0.52	0.22	1.53	2.798e-5	4.984e-3	(A) Immunomodulatory
FUT7	9q34.3	1.20	0.03	0.37	0.08	1.17	2.801e-5	4.984e-3	(A) Immunomodulatory
POU2AF1	11q23.1	1.54	0.04	0.47	0.10	1.50	2.853e-5	5.031e-3	(A) Immunomodulatory
ZBED2	3q13.13	1.55	0.26	0.47	0.42	1.29	3.238e-5	5.610e-3	(A) Immunomodulatory
CD5	11q12.2	1.26	0.03	0.39	0.08	1.23	3.294e-5	5.657e-3	(A) Immunomodulatory
ZBTB32	19q13.12	1.25	0.20	0.39	0.31	1.05	3.327e-5	5.663e-3	(A) Immunomodulatory
CRTAM	11q24.1	1.15	0.04	0.37	0.12	1.10	3.407e-5	5.716e-3	(A) Immunomodulatory
PSMB9	6p21.32	1.15	0.04	0.36	0.08	1.11	3.436e-5	5.716e-3	(A) Immunomodulatory
KLRK1	12p13.2	1.26	0.04	0.41	0.13	1.21	3.446e-5	5.716e-3	(A) Immunomodulatory
LAMP3	3q27.1	1.29	0.12	0.44	0.33	1.17	3.542e-5	5.778e-3	(A) Immunomodulatory
CD40LG	Xq26.3	1.32	0.19	0.40	0.40	1.13	3.636e-5	5.883e-3	(A) Immunomodulatory
CD37	19q13.33	1.01	0.02	0.32	0.07	0.99	3.711e-5	5.955e-3	(A) Immunomodulatory
HSH2D	19p13.11	1.36	0.17	0.34	0.50	1.20	3.881e-5	6.177e-3	(A) Immunomodulatory
CXCL9	4q21.1	1.66	0.26	0.47	0.54	1.40	3.937e-5	6.215e-3	(A) Immunomodulatory
SOCS3	17q25.3	1.13	0.13	0.38	0.28	1.00	4.172e-5	6.508e-3	(A) Immunomodulatory
LGALS2	22q13.1	1.68	0.37	0.43	0.52	1.31	4.238e-5	6.508e-3	(A) Immunomodulatory
RESF1	12p11.21	0.78	0.08	0.27	0.16	0.70	4.287e-5	6.508e-3	(A) Immunomodulatory
ITK	5q33.3	1.33	0.01	0.42	0.04	1.32	4.303e-5	6.508e-3	(A) Immunomodulatory
PTPN7	1q32.1	1.19	0.06	0.40	0.15	1.13	4.321e-5	6.508e-3	(A) Immunomodulatory
KIR2DL4	19q13.42	1.13	0.14	0.37	0.17	0.99	4.345e-5	6.508e-3	(A) Immunomodulatory
PLA2G2D	1p36.12	1.56	0.13	0.53	0.26	1.42	4.355e-5	6.508e-3	(A) Immunomodulatory
CXCR3	Xq13.1	1.28	0.03	0.42	0.09	1.25	4.430e-5	6.569e-3	(A) Immunomodulatory
STAT1	2q32.2	0.98	0.05	0.34	0.15	0.93	4.501e-5	6.625e-3	(A) Immunomodulatory
