Gene	Cytoband	(A) Immunomodulatory	(B) Mesenchymal	(A) Immunomodulatory	(B) Mesenchymal	Log2 Ratio	p-Value	q-Value	Higher expression in
SNX31	8q22.3	0.53	0.11	0.52	0.17	0.42	0.0599	0.367	(A) Immunomodulatory
HSD3B7	16p11.2	0.39	0.04	0.44	0.12	0.35	0.0599	0.367	(A) Immunomodulatory
FZD6	8q22.3	0.07	0.51	0.13	0.59	-0.44	0.0599	0.367	(B) Mesenchymal
SVOPL	7q34	0.24	0.77	0.36	0.67	-0.53	0.0599	0.367	(B) Mesenchymal
SNTA1	20q11.21	0.22	0.62	0.32	0.48	-0.40	0.0600	0.368	(B) Mesenchymal
NIT1	1q23.3	0.07	0.35	0.16	0.35	-0.27	0.0600	0.368	(B) Mesenchymal
PLCG2	16q24.1	0.54	0.08	0.59	0.16	0.47	0.0600	0.368	(A) Immunomodulatory
LINC00519	14q22.1	0.66	0.11	0.68	0.26	0.55	0.0601	0.368	(A) Immunomodulatory
STK10	5q35.1	0.42	0.03	0.49	0.09	0.39	0.0601	0.368	(A) Immunomodulatory
SPG11	15q21.1	0.33	0.05	0.33	0.16	0.27	0.0601	0.368	(A) Immunomodulatory
TGM2	20q11.23	0.60	0.10	0.62	0.22	0.50	0.0602	0.368	(A) Immunomodulatory
CMYA5	5q14.1	0.17	0.76	0.35	0.76	-0.59	0.0603	0.368	(B) Mesenchymal
ERCC6	10q11.23	0.08	0.42	0.14	0.47	-0.35	0.0604	0.369	(B) Mesenchymal
AMER1	Xq11.2	0.19	0.60	0.36	0.47	-0.41	0.0604	0.369	(B) Mesenchymal
PDCD6	5p15.33	0.11	0.52	0.19	0.54	-0.41	0.0604	0.369	(B) Mesenchymal
PPFIA1	11q13.3	0.02	0.22	0.06	0.27	-0.20	0.0604	0.369	(B) Mesenchymal
PCMTD1	8q11.23	0.15	0.59	0.16	0.59	-0.44	0.0606	0.369	(B) Mesenchymal
COL6A5	3q22.1	1.69	0.74	0.87	0.77	0.95	0.0606	0.369	(A) Immunomodulatory
ZNF280B	22q11.22	0.23	0.71	0.29	0.61	-0.48	0.0606	0.370	(B) Mesenchymal
FBXO42	1p36.13	0.02	0.19	0.05	0.22	-0.16	0.0606	0.370	(B) Mesenchymal
PLCE1	10q23.33	0.13	0.62	0.24	0.66	-0.49	0.0607	0.370	(B) Mesenchymal
TSHZ2	20q13.2	0.56	0.20	0.29	0.42	0.35	0.0607	0.370	(A) Immunomodulatory
GTF2E2	8p12	0.62	0.29	0.36	0.32	0.34	0.0608	0.370	(A) Immunomodulatory
FOXP4	6p21.1	0.21	0.77	0.32	0.73	-0.56	0.0608	0.370	(B) Mesenchymal
ELOVL6	4q25	0.17	0.55	0.24	0.49	-0.38	0.0608	0.370	(B) Mesenchymal
ZNF34	8q24.3	0.08	0.41	0.14	0.45	-0.33	0.0608	0.370	(B) Mesenchymal
USP49	6p21.1	0.10	0.53	0.28	0.54	-0.43	0.0608	0.370	(B) Mesenchymal
RFLNA	12q24.31	0.17	0.68	0.36	0.60	-0.51	0.0609	0.370	(B) Mesenchymal
MCU	10q22.1	0.06	0.30	0.15	0.32	-0.25	0.0609	0.370	(B) Mesenchymal
UAP1L1	9q34.3	0.02	0.19	0.04	0.22	-0.16	0.0610	0.370	(B) Mesenchymal
ZNF213	16p13.3	0.07	0.32	0.16	0.33	-0.25	0.0610	0.371	(B) Mesenchymal
EIF2S2	20q11.22	0.53	0.23	0.33	0.28	0.30	0.0610	0.371	(A) Immunomodulatory
ZNF705EP	11q13.4	0.16	0.82	0.29	0.88	-0.66	0.0611	0.371	(B) Mesenchymal
AGRN	1p36.33	0.09	0.54	0.17	0.61	-0.45	0.0611	0.371	(B) Mesenchymal
CYS1	2p25.1	0.31	0.06	0.29	0.18	0.25	0.0611	0.371	(A) Immunomodulatory
PTPN20	10q11.22	0.28	0.78	0.49	0.53	-0.50	0.0612	0.371	(B) Mesenchymal
NSUN2	5p15.31	0.13	0.59	0.20	0.60	-0.45	0.0612	0.371	(B) Mesenchymal
GPR26	10q26.13	0.23	0.86	0.50	0.50	-0.62	0.0612	0.371	(B) Mesenchymal
PLPP6	9p24.1	0.35	0.05	0.39	0.11	0.31	0.0612	0.371	(A) Immunomodulatory
ANKRD20A12P	4	0.46	0.11	0.43	0.22	0.35	0.0613	0.371	(A) Immunomodulatory
ATN1	12p13.31	0.06	0.55	0.18	0.66	-0.49	0.0613	0.371	(B) Mesenchymal
PVRIG2P	7q22.1	0.13	0.53	0.27	0.51	-0.40	0.0613	0.371	(B) Mesenchymal
KCNQ1	11p15.5-p15.4	0.62	0.13	0.57	0.38	0.49	0.0614	0.371	(A) Immunomodulatory
MMP21	10q26.2	0.06	0.44	0.18	0.43	-0.38	0.0614	0.371	(B) Mesenchymal
SFTA2	6p21.33	0.02	1.07	0.04	0.72	-1.05	0.0614	0.371	(B) Mesenchymal
TIMM23B	10q11.23	0.06	0.34	0.16	0.37	-0.28	0.0614	0.371	(B) Mesenchymal
IL17REL	22q13.33	0.87	0.22	0.67	0.60	0.65	0.0614	0.371	(A) Immunomodulatory
WHRN	9q32	0.11	0.54	0.25	0.55	-0.42	0.0615	0.371	(B) Mesenchymal
HELB	12q14.3	0.53	0.09	0.55	0.18	0.44	0.0615	0.371	(A) Immunomodulatory
ARID3B	15q24.1	0.42	0.10	0.39	0.19	0.32	0.0615	0.371	(A) Immunomodulatory
ITGAX	16p11.2	0.44	0.05	0.49	0.16	0.39	0.0616	0.371	(A) Immunomodulatory
TCP11	6p21.31	0.17	1.24	0.33	1.22	-1.08	0.0616	0.371	(B) Mesenchymal
DNAJC11	1p36.31	0.09	0.40	0.15	0.41	-0.31	0.0617	0.371	(B) Mesenchymal
GLYCTK-AS1	3p21.1	0.09	0.48	0.25	0.43	-0.39	0.0617	0.371	(B) Mesenchymal
KLHL14	18q12.1	0.76	0.22	0.65	0.35	0.54	0.0617	0.371	(A) Immunomodulatory
PRELID3A	18p11.21	0.18	0.67	0.51	0.48	-0.49	0.0617	0.372	(B) Mesenchymal
NEMP2	2q32.2	0.28	0.12	0.18	0.15	0.17	0.0617	0.372	(A) Immunomodulatory
CADM3	1q23.2	0.84	0.22	0.74	0.39	0.61	0.0617	0.372	(A) Immunomodulatory
GM2A	5q33.1	0.39	0.03	0.47	0.08	0.37	0.0618	0.372	(A) Immunomodulatory
CD14	5q31.3	0.50	0.07	0.55	0.17	0.44	0.0618	0.372	(A) Immunomodulatory
HOOK3	8p11.21	0.05	0.47	0.11	0.58	-0.42	0.0618	0.372	(B) Mesenchymal
KLC2	11q13.2	0.06	0.43	0.10	0.51	-0.37	0.0621	0.373	(B) Mesenchymal
LINC01882	18p11.21	0.94	0.35	0.33	0.41	0.58	0.0621	0.373	(A) Immunomodulatory
ESR2	14q23.2-q23.3	0.66	0.25	0.37	0.46	0.41	0.0621	0.373	(A) Immunomodulatory
MPZL2	11q23.3	0.25	0.72	0.29	0.60	-0.46	0.0622	0.373	(B) Mesenchymal
MMP16	8q21.3	0.19	0.93	0.36	0.99	-0.74	0.0622	0.373	(B) Mesenchymal
ITIH5	10p14	0.46	0.12	0.41	0.16	0.33	0.0622	0.373	(A) Immunomodulatory
CALU	7q32.1	0.12	0.37	0.22	0.29	-0.25	0.0622	0.373	(B) Mesenchymal
DAB2	5p13.1	0.24	0.04	0.24	0.12	0.19	0.0623	0.373	(A) Immunomodulatory
ERBB3	12q13.2	0.16	0.57	0.31	0.51	-0.41	0.0623	0.374	(B) Mesenchymal
MRO	18q21.2	0.02	0.58	0.05	0.78	-0.56	0.0623	0.374	(B) Mesenchymal
LINC00605	14q32.32	0.11	0.64	0.24	0.60	-0.53	0.0623	0.374	(B) Mesenchymal
TMEM105	17q25.3	0.26	0.94	0.55	0.82	-0.68	0.0624	0.374	(B) Mesenchymal
ALOX15B	17p13.1	0.73	0.05	0.86	0.15	0.68	0.0625	0.374	(A) Immunomodulatory
ARFGAP2	11p11.2	0.10	0.34	0.13	0.32	-0.24	0.0625	0.374	(B) Mesenchymal
USP24	1p32.3	0.05	0.39	0.07	0.48	-0.35	0.0625	0.374	(B) Mesenchymal
PHF20	20q11.22-q11.23	0.20	0.03	0.22	0.09	0.17	0.0626	0.374	(A) Immunomodulatory
RBL2	16q12.2	0.27	0.04	0.29	0.11	0.23	0.0626	0.374	(A) Immunomodulatory
MTIF3	13q12.2	0.38	0.12	0.28	0.25	0.26	0.0627	0.374	(A) Immunomodulatory
NEDD4L	18q21.31	0.02	0.34	0.05	0.43	-0.31	0.0627	0.374	(B) Mesenchymal
NOTCH1	9q34.3	0.02	0.43	0.04	0.57	-0.41	0.0627	0.374	(B) Mesenchymal
ARL6IP5	3p14.1	0.49	0.13	0.32	0.40	0.35	0.0627	0.374	(A) Immunomodulatory
PDZRN4	12q12	0.46	0.05	0.53	0.11	0.41	0.0627	0.374	(A) Immunomodulatory
TRIM29	11q23.3	0.18	0.71	0.33	0.69	-0.53	0.0627	0.374	(B) Mesenchymal
GALNT13	2q23.3-q24.1	0.36	1.18	0.54	1.05	-0.82	0.0627	0.374	(B) Mesenchymal
PRR14L	22q12.2	0.08	0.36	0.14	0.37	-0.27	0.0627	0.374	(B) Mesenchymal
SAT1	Xp22.11	0.39	0.09	0.37	0.18	0.30	0.0628	0.374	(A) Immunomodulatory
STAG3L4	7q11.21	0.06	0.35	0.09	0.41	-0.30	0.0628	0.374	(B) Mesenchymal
IGHMBP2	11q13.3	0.15	0.46	0.22	0.39	-0.31	0.0628	0.374	(B) Mesenchymal
POLD3	11q13.4	0.08	0.31	0.11	0.31	-0.23	0.0628	0.374	(B) Mesenchymal
FAM53C	5q31.2	0.07	0.43	0.16	0.48	-0.36	0.0629	0.374	(B) Mesenchymal
REPIN1	7q36.1	0.05	0.43	0.09	0.53	-0.38	0.0629	0.374	(B) Mesenchymal
RHPN1	8q24.3	0.06	0.45	0.18	0.52	-0.38	0.0629	0.375	(B) Mesenchymal
SPRING1	12q24.22	0.16	0.60	0.31	0.57	-0.45	0.0630	0.375	(B) Mesenchymal
TEX41	2q22.3	0.74	0.13	0.68	0.39	0.61	0.0631	0.375	(A) Immunomodulatory
MAPK8IP1	11p11.2	0.14	0.65	0.35	0.66	-0.52	0.0631	0.375	(B) Mesenchymal
HOXA4	7p15.2	0.08	0.66	0.16	0.80	-0.58	0.0631	0.375	(B) Mesenchymal
NAPA	19q13.33	0.07	0.33	0.12	0.35	-0.26	0.0632	0.375	(B) Mesenchymal
FKBP9	7p14.3	0.03	0.33	0.10	0.41	-0.30	0.0632	0.375	(B) Mesenchymal
AFAP1L2	10q25.3	0.23	0.73	0.43	0.60	-0.50	0.0632	0.375	(B) Mesenchymal
CD163	12p13.31	0.37	0.03	0.43	0.10	0.34	0.0632	0.375	(A) Immunomodulatory
ITGB3BP	1p31.3	0.08	0.27	0.16	0.23	-0.19	0.0632	0.375	(B) Mesenchymal
PCDHB16	5q31.3	0.16	0.85	0.46	0.89	-0.69	0.0633	0.375	(B) Mesenchymal
SIGLEC7	19q13.41	0.49	0.08	0.52	0.18	0.41	0.0633	0.375	(A) Immunomodulatory
ALX4	11p11.2	0.59	1.39	0.61	1.01	-0.81	0.0633	0.375	(B) Mesenchymal
CECR7	22q11.1	0.35	0.99	0.51	0.78	-0.64	0.0633	0.375	(B) Mesenchymal
SCUBE3	6p21.3	0.37	1.31	0.83	1.08	-0.93	0.0633	0.375	(B) Mesenchymal
BTBD7	14q32.12	0.01	0.18	0.02	0.25	-0.18	0.0634	0.375	(B) Mesenchymal
OLAH	10p13	1.44	0.44	1.13	0.58	1.01	0.0634	0.376	(A) Immunomodulatory
LGALS7B	19q13.2	1.25	0.27	1.03	0.82	0.98	0.0635	0.376	(A) Immunomodulatory
HSPA12A	10q25.3	0.12	0.58	0.35	0.58	-0.46	0.0636	0.376	(B) Mesenchymal
EFHD2	1p36.21	0.49	0.11	0.48	0.22	0.39	0.0637	0.377	(A) Immunomodulatory
ALKBH1	14q24.3	0.25	0.04	0.27	0.08	0.21	0.0637	0.377	(A) Immunomodulatory
DND1	5q31.3	0.05	0.31	0.11	0.35	-0.26	0.0637	0.377	(B) Mesenchymal
BLOC1S3	19q13.32	0.04	0.36	0.08	0.44	-0.32	0.0637	0.377	(B) Mesenchymal
NRIP3	11p15.4	0.02	0.32	0.07	0.41	-0.30	0.0638	0.377	(B) Mesenchymal
GNAS	20q13.32	0.29	0.76	0.29	0.62	-0.47	0.0638	0.377	(B) Mesenchymal
CTSE	1q32.1	0.72	0.14	0.58	0.34	0.59	0.0638	0.377	(A) Immunomodulatory
LMX1B	9q33.3	0.10	0.60	0.28	0.66	-0.50	0.0639	0.377	(B) Mesenchymal
CAP2	6p22.3	0.11	0.42	0.26	0.38	-0.31	0.0639	0.377	(B) Mesenchymal
DERL2	17p13.2	0.28	0.06	0.27	0.10	0.22	0.0640	0.377	(A) Immunomodulatory
FBXO39	17p13.1	1.03	0.27	0.86	0.47	0.77	0.0640	0.377	(A) Immunomodulatory
LRATD2	8q24.21	0.09	0.31	0.21	0.26	-0.23	0.0640	0.377	(B) Mesenchymal
EPHA1	7q34-q35	0.02	0.34	0.05	0.44	-0.32	0.0640	0.377	(B) Mesenchymal
DTX2	7q11.23	0.00	0.28	0.01	0.38	-0.27	0.0640	0.377	(B) Mesenchymal
ZNF823	19p13.2	0.06	0.29	0.18	0.28	-0.23	0.0640	0.377	(B) Mesenchymal
NCKIPSD	3p21.31	0.03	0.31	0.09	0.38	-0.28	0.0641	0.377	(B) Mesenchymal
LPP	3q27.3-q28	0.06	0.40	0.16	0.46	-0.34	0.0642	0.377	(B) Mesenchymal
PTCH2	1p34.1	0.20	0.68	0.37	0.59	-0.48	0.0642	0.377	(B) Mesenchymal
DACT3-AS1	19q13.32	0.13	0.81	0.20	0.70	-0.68	0.0642	0.377	(B) Mesenchymal
MIR3142HG	5q33.3	0.74	0.22	0.57	0.49	0.52	0.0642	0.378	(A) Immunomodulatory
CPTP	1p36.33	0.14	0.51	0.23	0.49	-0.38	0.0642	0.378	(B) Mesenchymal
SIN3B	19p13.11	0.02	0.27	0.07	0.35	-0.25	0.0643	0.378	(B) Mesenchymal
HOXA2	7p15.2	0.18	0.74	0.33	0.69	-0.56	0.0643	0.378	(B) Mesenchymal
TAFA4	3p14.1	0.18	0.82	0.47	0.54	-0.64	0.0644	0.378	(B) Mesenchymal
NCKAP1	2q32.1	0.15	0.48	0.35	0.32	-0.33	0.0644	0.378	(B) Mesenchymal
DIMT1	5q12.1	0.50	0.20	0.29	0.31	0.29	0.0644	0.378	(A) Immunomodulatory
COX20	1q44	0.10	0.46	0.26	0.46	-0.36	0.0644	0.378	(B) Mesenchymal
RNF141	11p15.3	0.05	0.44	0.15	0.53	-0.39	0.0645	0.378	(B) Mesenchymal
NOD2	16q12.1	0.54	0.16	0.47	0.20	0.38	0.0645	0.378	(A) Immunomodulatory
CPNE4	3q22.1	0.15	0.91	0.29	0.79	-0.76	0.0646	0.378	(B) Mesenchymal
MAPKBP1	15q15.1	0.04	0.38	0.10	0.46	-0.33	0.0646	0.378	(B) Mesenchymal
TNFRSF21	6p12.3	0.15	0.70	0.25	0.75	-0.55	0.0646	0.378	(B) Mesenchymal
RMND1	6q25.1	0.36	0.08	0.35	0.16	0.28	0.0646	0.378	(A) Immunomodulatory
LINC01186	Xp11.3	0.65	0.15	0.23	0.26	0.51	0.0646	0.378	(A) Immunomodulatory
POLH	6p21.1	0.01	0.40	0.03	0.54	-0.39	0.0646	0.378	(B) Mesenchymal
EXOC3	5p15.33	0.04	0.20	0.10	0.22	-0.16	0.0647	0.379	(B) Mesenchymal
NOX5	15q23	0.15	0.63	0.25	0.59	-0.48	0.0648	0.379	(B) Mesenchymal
SLC22A5	5q31.1	0.11	0.53	0.32	0.52	-0.42	0.0648	0.379	(B) Mesenchymal
PCNX1	14q24.2	0.32	0.09	0.26	0.21	0.23	0.0648	0.379	(A) Immunomodulatory
ARHGAP35	19q13.32	0.06	0.37	0.15	0.42	-0.31	0.0648	0.379	(B) Mesenchymal
ZMYND11	10p15.3	0.07	0.33	0.18	0.35	-0.27	0.0649	0.379	(B) Mesenchymal
PTCH1	9q22.32	0.25	0.81	0.25	0.76	-0.56	0.0649	0.379	(B) Mesenchymal
HIF3A	19q13.32	0.36	1.16	0.54	1.04	-0.80	0.0650	0.379	(B) Mesenchymal
ARMC1	8q13.1	0.13	0.39	0.20	0.33	-0.26	0.0650	0.379	(B) Mesenchymal
DHX34	19q13.32	0.05	0.50	0.15	0.62	-0.45	0.0651	0.380	(B) Mesenchymal
PRKCZ	1p36.33	0.13	0.52	0.17	0.53	-0.39	0.0652	0.380	(B) Mesenchymal
EFNA5	5q21.3	0.30	0.90	0.65	0.59	-0.60	0.0652	0.380	(B) Mesenchymal
PRCC	1q23.1	0.19	0.48	0.26	0.34	-0.29	0.0652	0.380	(B) Mesenchymal
BMP5	6p12.1	1.22	0.43	0.79	0.85	0.79	0.0653	0.380	(A) Immunomodulatory
ZNF436	1p36.12	0.11	0.41	0.28	0.35	-0.30	0.0653	0.380	(B) Mesenchymal
WBP2NL	22q13.2	0.07	0.57	0.21	0.62	-0.49	0.0653	0.380	(B) Mesenchymal
C17ORF58	17q24.2	0.55	0.16	0.43	0.35	0.39	0.0654	0.380	(A) Immunomodulatory
LOC388813	21q11.2	0.72	0.14	0.49	0.32	0.58	0.0654	0.380	(A) Immunomodulatory
COL9A2	1p34.2	0.11	0.71	0.25	0.83	-0.61	0.0654	0.380	(B) Mesenchymal
TBC1D24	16p13.3	0.12	0.46	0.34	0.35	-0.33	0.0654	0.380	(B) Mesenchymal
DDX11L2	2q14.1	0.20	0.76	0.38	0.73	-0.56	0.0655	0.381	(B) Mesenchymal
PEX26	22q11.21	0.08	0.36	0.22	0.35	-0.28	0.0656	0.381	(B) Mesenchymal
MSL3	Xp22.2	0.36	0.11	0.31	0.13	0.25	0.0656	0.381	(A) Immunomodulatory
USP32P2	17p11.2	0.21	0.79	0.58	0.64	-0.59	0.0656	0.381	(B) Mesenchymal
RIPK3	14q12	0.54	0.12	0.49	0.36	0.42	0.0656	0.381	(A) Immunomodulatory
ARHGEF6	Xq26.3	0.45	0.08	0.48	0.15	0.38	0.0657	0.382	(A) Immunomodulatory
ZNF541	19q13.33	0.11	0.67	0.31	0.74	-0.55	0.0658	0.382	(B) Mesenchymal
BTC	4q13.3	0.16	0.78	0.45	0.80	-0.62	0.0658	0.382	(B) Mesenchymal
STARD4	5q22.1	0.43	0.12	0.37	0.21	0.30	0.0658	0.382	(A) Immunomodulatory
GAS2	11p14.3	0.71	0.11	0.75	0.28	0.59	0.0658	0.382	(A) Immunomodulatory
LGI2	4p15.2	0.54	0.19	0.43	0.27	0.36	0.0659	0.382	(A) Immunomodulatory
PALS2	7p15.3	0.13	0.40	0.21	0.35	-0.27	0.0660	0.382	(B) Mesenchymal
HOMER1	5q14.1	0.27	0.78	0.39	0.65	-0.52	0.0660	0.382	(B) Mesenchymal
SMAGP	12q13.13	0.08	0.47	0.22	0.51	-0.38	0.0661	0.383	(B) Mesenchymal
FCGR3A	1q23.3	0.46	0.05	0.52	0.16	0.40	0.0661	0.383	(A) Immunomodulatory
CCDC93	2q14.1	0.01	0.25	0.02	0.35	-0.25	0.0661	0.383	(B) Mesenchymal
WDR44	Xq24	0.14	0.02	0.15	0.05	0.12	0.0662	0.383	(A) Immunomodulatory
C2ORF69	2q33.1	0.07	0.45	0.12	0.52	-0.37	0.0662	0.383	(B) Mesenchymal
CFAP221	2q14.2	0.06	0.52	0.16	0.64	-0.46	0.0662	0.383	(B) Mesenchymal
ZNF284	19q13.31	0.06	0.41	0.10	0.49	-0.35	0.0662	0.383	(B) Mesenchymal
ZFP36	19q13.2	0.85	0.17	0.86	0.34	0.68	0.0663	0.383	(A) Immunomodulatory
LYNX1	8q24.3	0.16	0.62	0.24	0.63	-0.47	0.0663	0.383	(B) Mesenchymal
LINC01679	21q22.3	0.89	0.36	0.51	0.54	0.52	0.0663	0.383	(A) Immunomodulatory
ATXN10	22q13.31	0.14	0.43	0.19	0.38	-0.29	0.0664	0.383	(B) Mesenchymal
SQLE	8q24.13	0.33	0.91	0.48	0.71	-0.58	0.0665	0.384	(B) Mesenchymal
PHF20L1	8q24.22	0.20	0.57	0.30	0.45	-0.36	0.0666	0.384	(B) Mesenchymal
ZFPL1	11q13.1	0.13	0.43	0.20	0.39	-0.30	0.0666	0.384	(B) Mesenchymal
KCNN2	5q22.3	0.18	0.64	0.31	0.60	-0.46	0.0666	0.384	(B) Mesenchymal
FOXM1	12p13.33	0.16	0.72	0.27	0.76	-0.56	0.0666	0.384	(B) Mesenchymal
GEMIN8P4	1p22.2	0.22	0.63	0.43	0.43	-0.41	0.0666	0.384	(B) Mesenchymal
KLHDC9	1q23.3	0.20	0.69	0.29	0.65	-0.49	0.0667	0.384	(B) Mesenchymal
NXPH3	17q21.33	0.10	0.57	0.19	0.66	-0.47	0.0667	0.384	(B) Mesenchymal
ATRN	20p13	0.10	0.42	0.27	0.40	-0.32	0.0668	0.384	(B) Mesenchymal
LINC02817	1q41	0.18	0.91	0.20	0.75	-0.73	0.0668	0.384	(B) Mesenchymal
VSIG1	Xq22.3	0.60	0.21	0.43	0.35	0.38	0.0668	0.384	(A) Immunomodulatory
ZNF180	19q13.31	0.12	0.41	0.22	0.36	-0.29	0.0668	0.384	(B) Mesenchymal
SLC6A4	17q11.2	0.17	0.85	0.32	0.93	-0.68	0.0668	0.384	(B) Mesenchymal
EIF2AK2	2p22.2	0.43	0.12	0.38	0.20	0.31	0.0668	0.384	(A) Immunomodulatory
HOXA11-AS	7p15.2	0.17	0.99	0.43	1.09	-0.82	0.0668	0.384	(B) Mesenchymal
DCC	18q21.2	0.95	0.35	0.67	0.56	0.60	0.0669	0.384	(A) Immunomodulatory
CEP295NL	17q25.3	0.18	0.65	0.34	0.60	-0.46	0.0669	0.384	(B) Mesenchymal
IQSEC1	3p25.2	0.06	0.39	0.14	0.46	-0.33	0.0669	0.384	(B) Mesenchymal
LINC00960	3p12.3	0.09	0.73	0.21	0.90	-0.64	0.0669	0.384	(B) Mesenchymal
CCDC28A	6q24.1	0.39	0.10	0.36	0.19	0.29	0.0669	0.384	(A) Immunomodulatory
TAFA2	12q14.1	0.63	0.16	0.50	0.47	0.47	0.0669	0.384	(A) Immunomodulatory
CASK	Xp11.4	0.10	0.40	0.20	0.38	-0.29	0.0669	0.384	(B) Mesenchymal
CFAP157	9q34.11	0.10	0.42	0.19	0.43	-0.32	0.0670	0.384	(B) Mesenchymal
RNF187	1q42.13	0.12	0.40	0.26	0.32	-0.28	0.0670	0.384	(B) Mesenchymal
PTEN	10q23.31	0.34	0.08	0.30	0.22	0.26	0.0670	0.384	(A) Immunomodulatory
B4GALNT1	12q13.3	0.36	1.02	0.52	0.84	-0.66	0.0671	0.384	(B) Mesenchymal
TBC1D7	6p24.1	0.27	0.61	0.24	0.45	-0.34	0.0671	0.384	(B) Mesenchymal
MID1	Xp22.2	0.17	0.68	0.27	0.69	-0.51	0.0671	0.384	(B) Mesenchymal
SYNRG	17q12	0.38	0.08	0.38	0.17	0.31	0.0672	0.384	(A) Immunomodulatory
RGPD1	2p11.2	0.25	0.71	0.33	0.59	-0.46	0.0672	0.384	(B) Mesenchymal
DDTL	22q11.23	0.16	0.50	0.17	0.47	-0.34	0.0673	0.384	(B) Mesenchymal
ZPLD1	3q12.3	0.34	1.31	0.62	1.09	-0.97	0.0673	0.384	(B) Mesenchymal
LZTS1	8p21.3	0.27	0.76	0.48	0.55	-0.49	0.0673	0.384	(B) Mesenchymal
QPRT	16p11.2	0.73	0.19	0.66	0.38	0.54	0.0673	0.384	(A) Immunomodulatory
OSBPL2	20q13.33	0.06	0.36	0.13	0.40	-0.29	0.0673	0.384	(B) Mesenchymal
PTCHD1-AS	Xp22.11	0.02	0.50	0.03	0.63	-0.48	0.0674	0.385	(B) Mesenchymal
ZBTB46-AS1	20q13.33	0.04	0.66	0.09	0.56	-0.62	0.0674	0.385	(B) Mesenchymal
ATP6V1B1	2p13.3	0.20	0.69	0.40	0.60	-0.48	0.0675	0.385	(B) Mesenchymal
KYNU	2q22.2	0.72	0.18	0.60	0.51	0.54	0.0676	0.385	(A) Immunomodulatory
MST1	3p21.31	0.07	0.46	0.12	0.55	-0.39	0.0677	0.386	(B) Mesenchymal
LHX4	1q25.2	0.07	0.49	0.13	0.59	-0.42	0.0677	0.386	(B) Mesenchymal
SLC9A5	16q22.1	0.05	0.43	0.15	0.52	-0.37	0.0677	0.386	(B) Mesenchymal
KALRN	3q21.1-q21.2	0.19	0.71	0.41	0.65	-0.51	0.0677	0.386	(B) Mesenchymal
UMODL1	21q22.3	0.21	0.99	0.34	1.00	-0.78	0.0678	0.386	(B) Mesenchymal
CLIP4	2p23.2	0.11	0.45	0.17	0.47	-0.34	0.0678	0.386	(B) Mesenchymal
AMN1	12p11.21	0.43	0.13	0.37	0.22	0.31	0.0678	0.386	(A) Immunomodulatory
PLPPR3	19p13.3	0.17	1.06	0.32	1.05	-0.89	0.0679	0.386	(B) Mesenchymal
SUMF1	3p26.1	0.16	0.56	0.30	0.51	-0.40	0.0680	0.386	(B) Mesenchymal
LINC01160	1p13.2	0.51	0.10	0.53	0.17	0.41	0.0681	0.387	(A) Immunomodulatory
PCDH18	4q28.3	0.19	0.61	0.28	0.56	-0.43	0.0681	0.387	(B) Mesenchymal
SALL4	20q13.2	0.17	0.68	0.32	0.68	-0.51	0.0681	0.387	(B) Mesenchymal
KLHDC10	7q32.2	0.13	0.42	0.26	0.35	-0.29	0.0681	0.387	(B) Mesenchymal
VPS37D	7q11.23	0.36	0.96	0.55	0.71	-0.60	0.0681	0.387	(B) Mesenchymal
RNASEH1	2p25.3	0.10	0.36	0.17	0.34	-0.26	0.0681	0.387	(B) Mesenchymal
VPS37B	12q24.31	0.12	0.40	0.17	0.38	-0.28	0.0682	0.387	(B) Mesenchymal
ATP2B1-AS1	12q21.33	0.48	0.13	0.40	0.31	0.35	0.0682	0.387	(A) Immunomodulatory
ZNF408	11p11.2	0.10	0.38	0.16	0.38	-0.28	0.0682	0.387	(B) Mesenchymal
SLC35B2	6p21.1	0.16	0.57	0.30	0.54	-0.42	0.0682	0.387	(B) Mesenchymal
FAM171A2	17q21.31	0.28	0.75	0.29	0.62	-0.46	0.0682	0.387	(B) Mesenchymal
WDFY1	2q36.1	0.48	0.13	0.41	0.30	0.35	0.0682	0.387	(A) Immunomodulatory
WDR35	2p24.1	0.21	0.64	0.49	0.40	-0.44	0.0683	0.387	(B) Mesenchymal
NPTN	15q24.1	0.05	0.24	0.11	0.26	-0.19	0.0684	0.387	(B) Mesenchymal
MRPS12	19q13.2	0.28	0.68	0.35	0.49	-0.40	0.0685	0.387	(B) Mesenchymal
PITPNC1	17q24.2	0.36	0.13	0.26	0.23	0.24	0.0685	0.388	(A) Immunomodulatory
SDK2	17q25.1	0.41	1.11	0.48	0.93	-0.70	0.0685	0.388	(B) Mesenchymal
TYMS	18p11.32	0.27	0.83	0.46	0.69	-0.56	0.0685	0.388	(B) Mesenchymal
ZNF571-AS1	19q13.12	0.43	1.00	0.58	0.62	-0.57	0.0686	0.388	(B) Mesenchymal
TSC2	16p13.3	0.01	0.25	0.03	0.35	-0.24	0.0686	0.388	(B) Mesenchymal
SNHG4	5q31.2	0.10	0.62	0.20	0.72	-0.52	0.0686	0.388	(B) Mesenchymal
UCN2	3p21.31	0.13	0.68	0.28	0.74	-0.56	0.0687	0.388	(B) Mesenchymal
IQCJ-SCHIP1	3q25.32-q25.33	0.06	0.48	0.17	0.59	-0.42	0.0687	0.388	(B) Mesenchymal
