Gene	Cytoband	(A) BRCA_Basal	(B) BRCA_Normal	(A) BRCA_Basal	(B) BRCA_Normal	Log2 Ratio	p-Value	q-Value	Higher expression in
PRPF3	1q21.2	10.73	9.81	0.62	0.34	0.92	2.93e-21	1.08e-18	(A) BRCA_Basal
SRPK1	6p21.31	11.42	10.21	0.65	0.45	1.21	2.98e-21	1.08e-18	(A) BRCA_Basal
SLC40A1	2q32.2	9.31	11.94	1.39	0.97	-2.63	3.06e-21	1.09e-18	(B) BRCA_Normal
ZNF423	16q12.1	5.87	8.03	1.27	0.81	-2.17	3.49e-21	1.22e-18	(B) BRCA_Normal
ZNF280A	22q11.22	1.92	0.31	1.75	0.44	1.62	4.51e-21	1.55e-18	(A) BRCA_Basal
LHFPL6	13q13.3-q14.11	8.48	10.27	0.98	0.67	-1.79	4.59e-21	1.55e-18	(B) BRCA_Normal
UBAP2L	1q21.3	12.36	11.67	0.49	0.26	0.69	6.31e-21	2.09e-18	(A) BRCA_Basal
MAML3	4q31.1	7.19	8.67	1.10	0.55	-1.48	6.41e-21	2.09e-18	(B) BRCA_Normal
POU4F1	13q31.1	3.98	0.91	2.35	1.15	3.08	7.49e-21	2.41e-18	(A) BRCA_Basal
CAVIN2	2q32.3	5.54	8.61	1.54	1.15	-3.07	1.17e-20	3.69e-18	(B) BRCA_Normal
GMPS	3q25.31	11.33	10.20	0.59	0.43	1.13	1.28e-20	3.98e-18	(A) BRCA_Basal
BTNL9	5q35.3	4.96	7.67	1.63	1.04	-2.71	1.56e-20	4.80e-18	(B) BRCA_Normal
MASTL	10p12.1	9.32	8.23	0.77	0.42	1.09	1.88e-20	5.68e-18	(A) BRCA_Basal
CCDC152	5p12	4.84	6.68	1.25	0.71	-1.84	1.94e-20	5.77e-18	(B) BRCA_Normal
FOXA1	14q21.1	6.38	10.93	2.34	1.73	-4.54	2.15e-20	6.30e-18	(B) BRCA_Normal
INTS13	12p11.23	9.90	8.92	0.80	0.37	0.98	2.35e-20	6.78e-18	(A) BRCA_Basal
UBQLN4	1q22	11.47	10.60	0.58	0.34	0.86	2.84e-20	8.08e-18	(A) BRCA_Basal
SEMA3G	3p21.1	7.31	9.43	1.34	0.83	-2.12	3.84e-20	1.08e-17	(B) BRCA_Normal
MCM3	6p12.2	12.03	10.99	0.67	0.41	1.04	4.07e-20	1.13e-17	(A) BRCA_Basal
GTPBP4	10p15.3	11.29	10.13	0.73	0.45	1.15	4.71e-20	1.29e-17	(A) BRCA_Basal
FAF1	1p32.3	10.46	9.77	0.48	0.27	0.68	5.53e-20	1.49e-17	(A) BRCA_Basal
ACTL6A	3q26.33	10.87	9.92	0.52	0.37	0.95	6.07e-20	1.61e-17	(A) BRCA_Basal
RAPGEF3	12q13.11	6.49	8.62	1.01	0.82	-2.13	6.13e-20	1.61e-17	(B) BRCA_Normal
ZCCHC24	10q22.3	8.37	10.21	1.03	0.72	-1.83	6.85e-20	1.76e-17	(B) BRCA_Normal
ILF2	1q21.3	13.10	11.97	0.62	0.44	1.13	6.92e-20	1.76e-17	(A) BRCA_Basal
JAM3	11q25	8.10	10.03	1.07	0.75	-1.92	7.03e-20	1.76e-17	(B) BRCA_Normal
VPS72	1q21.3	10.75	9.71	0.65	0.41	1.04	7.07e-20	1.76e-17	(A) BRCA_Basal
KDM8	16p12.1	5.88	6.68	0.62	0.31	-0.80	9.07e-20	2.21e-17	(B) BRCA_Normal
DORIP1	14q21.2	5.83	6.84	0.71	0.40	-1.02	9.08e-20	2.21e-17	(B) BRCA_Normal
ABCB1	7q21.12	4.98	7.71	1.62	1.08	-2.73	9.38e-20	2.25e-17	(B) BRCA_Normal
LURAP1	1p34.1	3.31	5.24	1.06	0.76	-1.93	9.86e-20	2.34e-17	(B) BRCA_Normal
TLX3	5q35.1	2.61	0.28	2.39	0.80	2.34	1.04e-19	2.44e-17	(A) BRCA_Basal
MRPL37	1p32.3	11.24	10.45	0.57	0.32	0.79	1.11e-19	2.57e-17	(A) BRCA_Basal
RNASE4	14q11.2	8.57	10.19	0.93	0.64	-1.62	1.30e-19	2.96e-17	(B) BRCA_Normal
AR	Xq12	3.68	8.01	2.10	1.69	-4.33	1.31e-19	2.96e-17	(B) BRCA_Normal
PLPP1	5q11.2	8.95	10.36	0.92	0.57	-1.41	1.63e-19	3.66e-17	(B) BRCA_Normal
SYNPO2	4q26	8.20	10.48	1.55	0.91	-2.27	1.68e-19	3.73e-17	(B) BRCA_Normal
FBXO45	3q29	9.86	9.03	0.62	0.33	0.83	1.82e-19	3.98e-17	(A) BRCA_Basal
PTPRT	20q12-q13.11	3.88	8.50	2.48	1.84	-4.62	2.15e-19	4.67e-17	(B) BRCA_Normal
GPRASP1	Xq22.1	6.05	8.01	1.20	0.79	-1.96	2.21e-19	4.73e-17	(B) BRCA_Normal
BORCS7	10q24.32	8.22	9.22	0.54	0.40	-1.00	2.44e-19	5.18e-17	(B) BRCA_Normal
PGM5	9q21.11	5.14	7.79	1.75	1.08	-2.65	3.35e-19	7.03e-17	(B) BRCA_Normal
SLC7A2	8p22	7.04	10.54	1.83	1.41	-3.50	3.39e-19	7.04e-17	(B) BRCA_Normal
PGPEP1	19p13.11	8.22	9.35	0.91	0.45	-1.12	3.49e-19	7.16e-17	(B) BRCA_Normal
LIMA1	12q13.12	10.08	11.55	0.92	0.60	-1.47	3.74e-19	7.60e-17	(B) BRCA_Normal
CCNE1	19q12	8.68	5.89	1.21	1.10	2.79	4.16e-19	8.36e-17	(A) BRCA_Basal
UBA2	19q13.11	11.68	10.93	0.64	0.30	0.76	4.32e-19	8.61e-17	(A) BRCA_Basal
FSAF1	1q42.2	8.60	7.83	0.57	0.32	0.77	4.36e-19	8.61e-17	(A) BRCA_Basal
SCNN1A	12p13.31	8.07	10.97	2.12	1.19	-2.91	4.58e-19	8.95e-17	(B) BRCA_Normal
ABLIM3	5q32	6.55	9.19	1.39	1.07	-2.64	4.76e-19	9.21e-17	(B) BRCA_Normal
NR2F1	5q15	5.79	8.27	1.54	1.02	-2.48	4.92e-19	9.43e-17	(B) BRCA_Normal
EHD2	19q13.33	10.06	11.57	1.12	0.61	-1.51	4.98e-19	9.45e-17	(B) BRCA_Normal
SMOC2	6q27	8.95	10.73	1.38	0.72	-1.78	5.03e-19	9.46e-17	(B) BRCA_Normal
GASK1B	4q32.1	9.67	11.66	1.16	0.82	-2.00	5.97e-19	1.11e-16	(B) BRCA_Normal
TCF19	6p21.33	10.08	8.70	0.83	0.57	1.38	6.28e-19	1.16e-16	(A) BRCA_Basal
USP1	1p31.3	11.24	10.12	0.82	0.46	1.11	6.55e-19	1.20e-16	(A) BRCA_Basal
MSH2	2p21-p16.3	10.63	9.50	0.69	0.46	1.13	6.73e-19	1.22e-16	(A) BRCA_Basal
DNALI1	1p34.3	4.78	8.39	1.69	1.45	-3.61	6.80e-19	1.22e-16	(B) BRCA_Normal
FAM72D	1q21.1	7.09	4.67	1.17	0.98	2.42	7.72e-19	1.37e-16	(A) BRCA_Basal
DKC1	Xq28	11.45	10.56	0.56	0.37	0.89	8.34e-19	1.47e-16	(A) BRCA_Basal
HORMAD1	1q21.3	6.43	1.24	3.39	2.16	5.18	1.01e-18	1.77e-16	(A) BRCA_Basal
ELAVL1	19p13.2	11.32	10.82	0.40	0.21	0.50	1.10e-18	1.91e-16	(A) BRCA_Basal
FAM47E	4q21.1	3.86	6.25	1.21	0.98	-2.40	1.13e-18	1.95e-16	(B) BRCA_Normal
CYBRD1	2q31.1	10.62	12.54	1.04	0.79	-1.92	1.22e-18	2.08e-16	(B) BRCA_Normal
TPCN1	12q24.13	9.31	10.34	0.57	0.43	-1.03	1.45e-18	2.45e-16	(B) BRCA_Normal
FIRRM	1q24.2	8.82	7.45	0.72	0.57	1.37	1.62e-18	2.72e-16	(A) BRCA_Basal
INPP4B	4q31.21	6.00	8.40	1.43	1.01	-2.39	1.84e-18	3.03e-16	(B) BRCA_Normal
SPDEF	6p21.31	6.49	10.84	2.65	1.83	-4.35	1.84e-18	3.03e-16	(B) BRCA_Normal
ADCY4	14q12	6.33	8.19	1.15	0.78	-1.86	1.91e-18	3.12e-16	(B) BRCA_Normal
COL17A1	10q25.1	6.50	11.02	2.65	1.90	-4.52	2.14e-18	3.43e-16	(B) BRCA_Normal
CNN1	19p13.2	7.29	10.32	1.68	1.27	-3.03	2.14e-18	3.43e-16	(B) BRCA_Normal
ACOX2	3p14.3	4.61	7.16	1.47	1.07	-2.56	2.15e-18	3.43e-16	(B) BRCA_Normal
CENPW	6q22.32	9.02	7.05	1.07	0.82	1.97	2.24e-18	3.54e-16	(A) BRCA_Basal
NEK9	14q24.3	10.07	10.88	0.56	0.34	-0.81	2.26e-18	3.55e-16	(B) BRCA_Normal
TAF5L	1q42.13	10.03	9.29	0.52	0.31	0.74	2.54e-18	3.96e-16	(A) BRCA_Basal
CARMN	5q32	6.16	9.28	1.53	1.30	-3.13	2.98e-18	4.61e-16	(B) BRCA_Normal
CCT5	5p15.2	12.98	11.98	0.61	0.42	1.00	3.15e-18	4.83e-16	(A) BRCA_Basal
