Gene	Cytoband	(A) BRCA_Basal	(B) BRCA_Normal	(A) BRCA_Basal	(B) BRCA_Normal	Log2 Ratio	p-Value	q-Value	Higher expression in
L3HYPDH	14q23.1	6.17	6.59	0.69	0.47	-0.41	4.009e-5	1.549e-4	(B) BRCA_Normal
SLC38A4	12q13.11	2.40	3.97	1.53	1.95	-1.57	4.018e-5	1.553e-4	(B) BRCA_Normal
RBBP5	1q32.1	9.34	8.82	0.72	0.62	0.52	4.023e-5	1.554e-4	(A) BRCA_Basal
TRIM13	13q14.2	9.13	9.49	0.66	0.39	-0.36	4.027e-5	1.556e-4	(B) BRCA_Normal
TTL	2q14.1	9.97	9.57	0.63	0.46	0.40	4.028e-5	1.556e-4	(A) BRCA_Basal
GPR4	19q13.32	7.19	7.99	0.81	0.99	-0.80	4.031e-5	1.556e-4	(B) BRCA_Normal
KLHL41	2q31.1	3.61	4.31	0.95	0.84	-0.71	4.039e-5	1.559e-4	(B) BRCA_Normal
EIF5A	17p13.1	12.97	12.48	0.61	0.60	0.49	4.039e-5	1.559e-4	(A) BRCA_Basal
ARHGEF19	1p36.13	9.58	8.88	0.97	0.83	0.70	4.042e-5	1.560e-4	(A) BRCA_Basal
BRSK2	11p15.5	3.54	2.24	2.49	1.40	1.30	4.042e-5	1.560e-4	(A) BRCA_Basal
SLC31A2	9q32	8.64	9.23	0.92	0.68	-0.59	4.045e-5	1.561e-4	(B) BRCA_Normal
ID1	20q11.21	7.83	8.94	1.42	1.34	-1.11	4.053e-5	1.563e-4	(B) BRCA_Normal
ZNF567	19q13.12	7.62	7.12	0.77	0.58	0.50	4.054e-5	1.563e-4	(A) BRCA_Basal
MARCHF2	19p13.2	8.93	9.39	0.53	0.56	-0.46	4.054e-5	1.563e-4	(B) BRCA_Normal
CNTD1	17q21.2-q21.31	4.39	5.12	0.76	0.90	-0.73	4.060e-5	1.565e-4	(B) BRCA_Normal
MYNN	3q26.2	8.98	8.61	0.51	0.44	0.37	4.067e-5	1.567e-4	(A) BRCA_Basal
ITSN1	21q22.11	9.18	9.73	0.68	0.66	-0.55	4.075e-5	1.570e-4	(B) BRCA_Normal
GNA11	19p13.3	8.67	9.19	0.78	0.61	-0.52	4.090e-5	1.576e-4	(B) BRCA_Normal
KCNJ8	12p12.1	7.28	8.10	0.90	1.01	-0.82	4.091e-5	1.576e-4	(B) BRCA_Normal
PCDHGA12	5q31.3	4.93	6.06	1.39	1.38	-1.13	4.093e-5	1.576e-4	(B) BRCA_Normal
OCA2	15q12-q13.1	4.31	2.65	2.68	1.90	1.66	4.099e-5	1.578e-4	(A) BRCA_Basal
GBA1	1q22	10.93	10.45	0.70	0.57	0.48	4.102e-5	1.579e-4	(A) BRCA_Basal
TCFL5	20q13.33	8.91	8.56	0.59	0.40	0.35	4.106e-5	1.580e-4	(A) BRCA_Basal
STRN3	14q12	8.78	9.23	0.59	0.54	-0.45	4.110e-5	1.581e-4	(B) BRCA_Normal
MAPK3	16p11.2	10.23	10.53	0.50	0.34	-0.30	4.117e-5	1.584e-4	(B) BRCA_Normal
TDRD9	14q32.33	2.77	4.63	2.29	2.25	-1.86	4.118e-5	1.584e-4	(B) BRCA_Normal
IFNL1	19q13.2	1.60	0.76	1.63	0.90	0.84	4.121e-5	1.585e-4	(A) BRCA_Basal
SULT1A1	16p11.2	7.50	8.33	1.10	1.00	-0.83	4.125e-5	1.586e-4	(B) BRCA_Normal
NUDT18	8p21.3	6.64	7.36	0.92	0.87	-0.72	4.137e-5	1.591e-4	(B) BRCA_Normal
RTL8A	Xq26.3	10.35	9.83	0.71	0.62	0.52	4.140e-5	1.591e-4	(A) BRCA_Basal
SLC67A1	11p15.4	7.40	8.17	1.23	0.89	-0.77	4.148e-5	1.594e-4	(B) BRCA_Normal
LINC00486	2p22.3	0.41	0.12	0.69	0.26	0.29	4.161e-5	1.599e-4	(A) BRCA_Basal
C1QTNF9B	13q12.12	1.48	2.35	1.07	1.05	-0.87	4.199e-5	1.613e-4	(B) BRCA_Normal
SEC13	3p25.3	11.54	11.13	0.60	0.49	0.41	4.206e-5	1.615e-4	(A) BRCA_Basal
SAP30BP	17q25.1	10.41	10.07	0.55	0.39	0.34	4.207e-5	1.615e-4	(A) BRCA_Basal
FBXO41	2p13.2	8.43	7.79	0.98	0.74	0.64	4.226e-5	1.623e-4	(A) BRCA_Basal
RIBC1	Xp11.22	4.28	5.05	1.07	0.92	-0.77	4.232e-5	1.625e-4	(B) BRCA_Normal
PRKACB	1p31.1	9.49	10.08	0.78	0.72	-0.59	4.254e-5	1.633e-4	(B) BRCA_Normal
SUCLG2	3p14.1	9.80	10.20	0.52	0.48	-0.40	4.260e-5	1.635e-4	(B) BRCA_Normal
FIGN	2q24.3	6.09	4.95	1.66	1.35	1.14	4.261e-5	1.635e-4	(A) BRCA_Basal
TAPBP	6p21.32	12.77	12.30	0.81	0.54	0.48	4.262e-5	1.635e-4	(A) BRCA_Basal
ANXA11	10q22.3	11.46	11.77	0.66	0.31	-0.31	4.272e-5	1.638e-4	(B) BRCA_Normal
MRFAP1	4p16.1	12.18	12.62	0.47	0.56	-0.45	4.295e-5	1.647e-4	(B) BRCA_Normal
CSRP2	12q21.2	9.17	8.49	1.17	0.78	0.68	4.297e-5	1.647e-4	(A) BRCA_Basal
MGP	12p12.3	14.14	15.33	2.24	1.30	-1.19	4.310e-5	1.652e-4	(B) BRCA_Normal
TMEM47	Xp21.1	8.72	9.63	1.29	1.09	-0.91	4.321e-5	1.656e-4	(B) BRCA_Normal
ELF5	11p13	10.31	8.35	2.84	2.31	1.95	4.323e-5	1.656e-4	(A) BRCA_Basal
MYH7B	20q11.22	2.25	3.19	1.04	1.15	-0.93	4.328e-5	1.658e-4	(B) BRCA_Normal
NR2F2	15q26.2	9.98	10.58	1.11	0.66	-0.60	4.331e-5	1.659e-4	(B) BRCA_Normal
IL20	1q32.1	1.16	3.14	1.23	2.52	-1.99	4.333e-5	1.659e-4	(B) BRCA_Normal
ATP7A	Xq21.1	8.40	9.03	0.81	0.77	-0.63	4.337e-5	1.660e-4	(B) BRCA_Normal
AZIN2	1p35.1	7.05	7.59	0.87	0.62	-0.54	4.349e-5	1.665e-4	(B) BRCA_Normal
IDNK	9q21.32	5.71	6.42	0.79	0.88	-0.71	4.352e-5	1.665e-4	(B) BRCA_Normal
WDR20	14q32.31	8.51	8.90	0.44	0.48	-0.39	4.366e-5	1.671e-4	(B) BRCA_Normal
RNF135	17q11.2	8.90	9.27	0.62	0.42	-0.36	4.389e-5	1.679e-4	(B) BRCA_Normal
ZNF843	16p11.2	2.78	3.51	0.97	0.88	-0.73	4.395e-5	1.681e-4	(B) BRCA_Normal
MYH8	17p13.1	0.36	0.90	0.72	0.65	-0.54	4.397e-5	1.682e-4	(B) BRCA_Normal
MTAP	9p21.3	9.86	9.31	1.21	0.54	0.55	4.399e-5	1.682e-4	(A) BRCA_Basal
CSTF2T	10q21.1	9.60	9.90	0.75	0.28	-0.31	4.402e-5	1.682e-4	(B) BRCA_Normal
OGDHL	10q11.23	3.59	2.07	2.66	1.71	1.52	4.402e-5	1.682e-4	(A) BRCA_Basal
TGFB1	19q13.2	9.57	10.35	0.97	0.95	-0.78	4.404e-5	1.683e-4	(B) BRCA_Normal
ITIH4	3p21.1	4.72	5.86	1.28	1.41	-1.14	4.414e-5	1.686e-4	(B) BRCA_Normal
RAB1A	2p14	12.02	11.77	0.41	0.29	0.25	4.421e-5	1.689e-4	(A) BRCA_Basal
XRCC6	22q13.2	12.97	12.72	0.43	0.29	0.25	4.425e-5	1.690e-4	(A) BRCA_Basal
MAGEA4	Xq28	2.96	0.94	4.19	2.10	2.02	4.435e-5	1.693e-4	(A) BRCA_Basal
DIS3L	15q22.31	9.10	9.42	0.58	0.35	-0.32	4.438e-5	1.694e-4	(B) BRCA_Normal
NFKBIE	6p21.1	9.42	8.80	0.85	0.74	0.62	4.438e-5	1.694e-4	(A) BRCA_Basal
FCMR	1q32.1	7.38	8.44	1.50	1.26	-1.06	4.439e-5	1.694e-4	(B) BRCA_Normal
SLC27A3	1q21.3	8.40	9.02	0.86	0.74	-0.62	4.444e-5	1.695e-4	(B) BRCA_Normal
CPNE1	20q11.22	11.37	10.86	0.87	0.59	0.51	4.445e-5	1.695e-4	(A) BRCA_Basal
KIRREL3	11q24.2	3.50	2.44	1.84	1.20	1.06	4.473e-5	1.706e-4	(A) BRCA_Basal
AMZ2	17q24.2	10.48	10.11	0.57	0.44	0.38	4.479e-5	1.708e-4	(A) BRCA_Basal
PCDHA10	5q31.3	3.89	5.26	2.26	1.57	-1.36	4.483e-5	1.709e-4	(B) BRCA_Normal
MAN1A1	6q22.31	9.09	10.05	1.31	1.15	-0.96	4.485e-5	1.709e-4	(B) BRCA_Normal
HOXD13	2q31.1	2.84	1.49	2.49	1.48	1.34	4.485e-5	1.709e-4	(A) BRCA_Basal
TBL1XR1	3q26.32	11.86	11.47	0.52	0.46	0.38	4.504e-5	1.716e-4	(A) BRCA_Basal
CHD6	20q12	9.93	10.48	0.82	0.64	-0.54	4.512e-5	1.719e-4	(B) BRCA_Normal
TOMM20	1q42.3	12.80	12.38	0.65	0.49	0.42	4.513e-5	1.719e-4	(A) BRCA_Basal
MED14	Xp11.4	10.55	10.12	0.62	0.50	0.42	4.530e-5	1.725e-4	(A) BRCA_Basal
HDDC2	6q22.31	9.93	9.55	0.66	0.43	0.38	4.535e-5	1.727e-4	(A) BRCA_Basal
GJB7	6q14.3-q15	1.75	0.94	1.57	0.87	0.81	4.539e-5	1.728e-4	(A) BRCA_Basal
DNASE2B	1p31.1-p22.3	1.19	2.59	1.25	1.76	-1.40	4.550e-5	1.732e-4	(B) BRCA_Normal
INO80	15q15.1	9.43	9.72	0.45	0.35	-0.30	4.556e-5	1.734e-4	(B) BRCA_Normal
AHR	7p21.1	10.55	11.28	1.12	0.87	-0.74	4.567e-5	1.737e-4	(B) BRCA_Normal
TPPP3	16q22.1	6.82	8.15	1.39	1.66	-1.33	4.570e-5	1.738e-4	(B) BRCA_Normal
CLN8	8p23.3	8.09	8.52	0.82	0.48	-0.43	4.579e-5	1.741e-4	(B) BRCA_Normal
EFCAB10	7q22.3	2.76	1.99	1.28	0.88	0.77	4.612e-5	1.753e-4	(A) BRCA_Basal
L1TD1	1p31.3	2.77	4.22	1.69	1.80	-1.46	4.617e-5	1.755e-4	(B) BRCA_Normal
RNF183	9q32	2.89	4.53	2.22	1.98	-1.64	4.638e-5	1.763e-4	(B) BRCA_Normal
NKAIN2	6q22.31	2.13	3.33	1.69	1.43	-1.20	4.641e-5	1.763e-4	(B) BRCA_Normal
CPXM2	10q26.13	8.75	9.71	1.72	1.07	-0.96	4.645e-5	1.765e-4	(B) BRCA_Normal
TLN2	15q22.2	9.10	9.63	0.91	0.61	-0.53	4.659e-5	1.770e-4	(B) BRCA_Normal
SERINC4	15q15.3	1.76	2.45	0.86	0.84	-0.69	4.662e-5	1.771e-4	(B) BRCA_Normal
PMEL	12q13.2	4.51	5.72	1.03	1.53	-1.21	4.665e-5	1.771e-4	(B) BRCA_Normal
ZNF334	20q13.12	5.43	6.43	2.04	1.06	-1.00	4.671e-5	1.773e-4	(B) BRCA_Normal
PREB	2p23.3	10.73	10.42	0.47	0.37	0.31	4.682e-5	1.777e-4	(A) BRCA_Basal
APLF	2p13.3	6.68	6.25	0.66	0.51	0.43	4.700e-5	1.784e-4	(A) BRCA_Basal
ZNF287	17p11.2	6.56	7.02	0.84	0.50	-0.45	4.705e-5	1.785e-4	(B) BRCA_Normal
MAP2K5	15q23	7.96	8.34	0.54	0.46	-0.38	4.707e-5	1.786e-4	(B) BRCA_Normal
TNRC6C	17q25.3	8.71	9.27	1.03	0.63	-0.56	4.713e-5	1.787e-4	(B) BRCA_Normal
LPCAT1	5p15.33	11.03	10.54	0.85	0.55	0.49	4.714e-5	1.787e-4	(A) BRCA_Basal
N4BP2L2	13q13.1	9.84	10.19	0.61	0.41	-0.36	4.750e-5	1.801e-4	(B) BRCA_Normal
RARRES2	7q36.1	9.01	9.91	1.44	1.04	-0.89	4.762e-5	1.805e-4	(B) BRCA_Normal
CPLANE2	1p36.13	5.26	5.69	0.82	0.48	-0.43	4.768e-5	1.807e-4	(B) BRCA_Normal
ZNF548	19q13.43	7.92	8.32	0.77	0.45	-0.41	4.779e-5	1.811e-4	(B) BRCA_Normal
TNFSF10	3q26.31	10.92	11.75	1.40	0.97	-0.84	4.790e-5	1.815e-4	(B) BRCA_Normal
DDB2	11p11.2	8.44	8.95	0.67	0.61	-0.50	4.814e-5	1.823e-4	(B) BRCA_Normal
ELL2	5q15	9.57	10.31	0.91	0.90	-0.74	4.829e-5	1.829e-4	(B) BRCA_Normal
FAXC	6q16.2	7.74	7.03	1.30	0.80	0.71	4.848e-5	1.836e-4	(A) BRCA_Basal
PFN1	17p13.2	13.84	13.38	0.56	0.57	0.46	4.855e-5	1.838e-4	(A) BRCA_Basal
TIGD1	2q37.1	7.31	6.79	0.79	0.63	0.53	4.864e-5	1.841e-4	(A) BRCA_Basal
LRRC27	10q26.3	7.24	7.61	0.72	0.40	-0.37	4.866e-5	1.841e-4	(B) BRCA_Normal
HAPLN3	15q26.1	10.30	9.48	1.39	0.94	0.82	4.888e-5	1.849e-4	(A) BRCA_Basal
RIOK2	5q15	8.72	8.98	0.41	0.32	-0.27	4.893e-5	1.851e-4	(B) BRCA_Normal
HSPH1	13q12.3	11.70	11.22	0.66	0.59	0.48	4.896e-5	1.852e-4	(A) BRCA_Basal
ZNF75D	Xq26.3	8.04	8.37	0.63	0.36	-0.33	4.919e-5	1.860e-4	(B) BRCA_Normal
OAZ2	15q22.31	10.68	10.94	0.47	0.29	-0.26	4.952e-5	1.872e-4	(B) BRCA_Normal
MT2A	16q13	11.13	12.09	1.17	1.18	-0.96	4.954e-5	1.872e-4	(B) BRCA_Normal
PTMA	2q37.1	14.56	14.13	0.56	0.53	0.43	4.957e-5	1.873e-4	(A) BRCA_Basal
ETNK2	1q32.1	8.10	9.27	1.38	1.44	-1.17	4.961e-5	1.874e-4	(B) BRCA_Normal
SULT1A2	16p11.2	3.13	3.99	1.24	1.03	-0.86	4.979e-5	1.880e-4	(B) BRCA_Normal
PPP2R5D	6p21.1	10.85	10.37	0.57	0.59	0.48	4.992e-5	1.885e-4	(A) BRCA_Basal
TMEM50B	21q22.11	9.60	9.93	0.55	0.39	-0.34	4.995e-5	1.886e-4	(B) BRCA_Normal
BPI	20q11.23	4.49	2.96	2.78	1.73	1.54	5.005e-5	1.889e-4	(A) BRCA_Basal
SLC25A13	7q21.3	9.64	9.15	0.60	0.60	0.49	5.012e-5	1.891e-4	(A) BRCA_Basal
TAOK2	16p11.2	10.09	10.45	0.50	0.42	-0.35	5.018e-5	1.893e-4	(B) BRCA_Normal
GPAT2	2q11.2	4.98	6.51	2.03	1.87	-1.54	5.019e-5	1.893e-4	(B) BRCA_Normal
SNX27	1q21.3	10.41	10.04	0.53	0.44	0.37	5.041e-5	1.901e-4	(A) BRCA_Basal
NPAS1	19q13.32	2.43	3.60	1.20	1.47	-1.17	5.042e-5	1.901e-4	(B) BRCA_Normal
PIAS2	18q21.1	8.19	7.72	0.67	0.58	0.48	5.047e-5	1.903e-4	(A) BRCA_Basal
SQOR	15q21.1	10.22	10.75	0.85	0.62	-0.53	5.060e-5	1.907e-4	(B) BRCA_Normal
PAQR4	16p13.3	10.26	9.45	0.80	1.02	0.81	5.064e-5	1.908e-4	(A) BRCA_Basal
TBC1D8	2q11.2	9.17	9.81	0.85	0.78	-0.64	5.078e-5	1.913e-4	(B) BRCA_Normal
AMBP	9q32	1.23	2.37	1.18	1.42	-1.13	5.083e-5	1.915e-4	(B) BRCA_Normal
HECTD4	12q24.13	9.67	10.11	0.63	0.52	-0.43	5.087e-5	1.916e-4	(B) BRCA_Normal
ZEB2	2q22.3	8.92	9.84	1.11	1.14	-0.92	5.108e-5	1.924e-4	(B) BRCA_Normal
MTCL3	6q22.33	5.10	5.94	1.62	0.92	-0.84	5.125e-5	1.930e-4	(B) BRCA_Normal
MRPL42P5	15q15.1	2.15	2.97	1.01	1.00	-0.81	5.186e-5	1.952e-4	(B) BRCA_Normal
LDLRAD2	1p36.12	6.81	7.64	1.09	1.03	-0.84	5.192e-5	1.954e-4	(B) BRCA_Normal
RPS4X	Xq13.1	14.83	15.32	0.75	0.59	-0.49	5.205e-5	1.959e-4	(B) BRCA_Normal
ZNF607	19q13.1	8.14	7.67	0.92	0.52	0.47	5.211e-5	1.961e-4	(A) BRCA_Basal
LYRM2	6q15	9.91	9.58	0.56	0.39	0.33	5.234e-5	1.969e-4	(A) BRCA_Basal
SOD3	4p15.2	8.26	9.25	1.80	1.12	-0.99	5.236e-5	1.969e-4	(B) BRCA_Normal
SAMD1	19p13.12	8.68	8.18	0.69	0.61	0.50	5.238e-5	1.970e-4	(A) BRCA_Basal
TDP1	14q32.11	9.06	8.73	0.53	0.38	0.33	5.246e-5	1.973e-4	(A) BRCA_Basal
RPRD2	1q21.2	10.87	10.46	0.58	0.50	0.41	5.253e-5	1.975e-4	(A) BRCA_Basal
UAP1L1	9q34.3	8.18	8.65	0.78	0.56	-0.48	5.276e-5	1.983e-4	(B) BRCA_Normal
TENT5B	1p36.11	7.74	8.73	1.43	1.19	-0.99	5.289e-5	1.987e-4	(B) BRCA_Normal
ISLR	15q24.1	10.96	11.72	1.41	0.86	-0.76	5.295e-5	1.989e-4	(B) BRCA_Normal
SPCS3	4q34.2	11.11	11.45	0.58	0.40	-0.35	5.305e-5	1.992e-4	(B) BRCA_Normal
MAP1B	5q13.2	9.99	10.73	1.26	0.85	-0.74	5.320e-5	1.998e-4	(B) BRCA_Normal
PABPC1	8q22.3	15.52	14.99	0.78	0.63	0.53	5.327e-5	1.999e-4	(A) BRCA_Basal
DOK4	16q21	8.23	8.75	0.72	0.62	-0.51	5.327e-5	1.999e-4	(B) BRCA_Normal
ATP13A4	3q29	4.42	6.55	2.16	2.67	-2.12	5.327e-5	1.999e-4	(B) BRCA_Normal
METTL24	6q21	1.56	2.59	1.20	1.28	-1.03	5.355e-5	2.009e-4	(B) BRCA_Normal
CISD1	10q21.1	8.77	8.43	0.57	0.39	0.34	5.359e-5	2.011e-4	(A) BRCA_Basal
OGFRL1	6q13	9.93	9.04	1.20	1.09	0.89	5.364e-5	2.012e-4	(A) BRCA_Basal
DERL1	8q24.13	11.59	11.15	0.49	0.55	0.44	5.374e-5	2.016e-4	(A) BRCA_Basal
ZMAT4	8p11.21	1.89	2.98	1.69	1.29	-1.09	5.380e-5	2.017e-4	(B) BRCA_Normal
PSD2	5q31.2	2.47	3.73	1.60	1.55	-1.26	5.380e-5	2.017e-4	(B) BRCA_Normal
ACSM4	12p13.31	0.18	0.03	0.36	0.13	0.15	5.386e-5	2.019e-4	(A) BRCA_Basal
ATG9A	2q35	10.72	10.47	0.52	0.27	0.26	5.388e-5	2.019e-4	(A) BRCA_Basal
CACNA2D4	12p13.33	5.16	5.80	1.05	0.73	-0.63	5.419e-5	2.030e-4	(B) BRCA_Normal
CYP7A1	8q12.1	0.78	1.46	0.78	0.85	-0.68	5.426e-5	2.033e-4	(B) BRCA_Normal
TACO1	17q23.3	8.87	8.47	0.57	0.48	0.40	5.430e-5	2.034e-4	(A) BRCA_Basal
JUND	19p13.11	10.82	11.62	0.88	1.00	-0.80	5.434e-5	2.035e-4	(B) BRCA_Normal
C18ORF54	18q21.2	7.11	6.48	0.84	0.76	0.63	5.439e-5	2.036e-4	(A) BRCA_Basal
HEY1	8q21.13	7.44	8.26	1.29	0.97	-0.82	5.441e-5	2.037e-4	(B) BRCA_Normal
YPEL3	16p11.2	9.40	9.94	0.84	0.64	-0.54	5.444e-5	2.037e-4	(B) BRCA_Normal
NUTM1	15q14	1.15	0.53	1.27	0.66	0.62	5.469e-5	2.046e-4	(A) BRCA_Basal
GSTZ1	14q24.3	8.05	8.64	0.86	0.71	-0.59	5.472e-5	2.047e-4	(B) BRCA_Normal
SEC1P	19q13.33	2.04	2.69	0.93	0.78	-0.64	5.501e-5	2.058e-4	(B) BRCA_Normal
DRICH1	22q11.23	0.80	1.35	0.72	0.68	-0.55	5.503e-5	2.058e-4	(B) BRCA_Normal
TFPI2	7q21.3	5.06	6.66	2.19	1.95	-1.60	5.504e-5	2.058e-4	(B) BRCA_Normal
RREB1	6p24.3	9.66	10.10	0.70	0.52	-0.44	5.517e-5	2.063e-4	(B) BRCA_Normal
AGPAT5	8p23.1	9.77	9.32	0.83	0.51	0.45	5.530e-5	2.067e-4	(A) BRCA_Basal
CDC42	1p36.12	12.36	12.57	0.41	0.23	-0.21	5.535e-5	2.068e-4	(B) BRCA_Normal
RASA4CP	7p13	6.33	6.98	0.80	0.81	-0.66	5.540e-5	2.070e-4	(B) BRCA_Normal
ARPIN	15q26.1	7.92	8.33	0.83	0.46	-0.42	5.541e-5	2.070e-4	(B) BRCA_Normal
MYG1	12q13.13	8.90	9.42	0.65	0.65	-0.52	5.550e-5	2.073e-4	(B) BRCA_Normal
FAM117A	17q21.33	8.09	8.66	0.77	0.69	-0.57	5.550e-5	2.073e-4	(B) BRCA_Normal
H3C14	1q21.2	2.64	1.61	1.10	1.30	1.03	5.573e-5	2.081e-4	(A) BRCA_Basal
ITGB8	7p21.1	10.39	9.33	1.20	1.33	1.06	5.584e-5	2.084e-4	(A) BRCA_Basal
DDX10	11q22.3	9.54	9.17	0.61	0.43	0.37	5.594e-5	2.088e-4	(A) BRCA_Basal
CDC42BPB	14q32.32	11.10	11.47	0.51	0.45	-0.37	5.617e-5	2.096e-4	(B) BRCA_Normal
GRIK4	11q23.3	1.90	3.33	1.39	1.82	-1.43	5.635e-5	2.102e-4	(B) BRCA_Normal
CDKN2AIP	4q35.1	8.44	8.80	0.57	0.42	-0.36	5.637e-5	2.103e-4	(B) BRCA_Normal
MAGEH1	Xp11.21	8.54	9.03	0.81	0.58	-0.49	5.654e-5	2.109e-4	(B) BRCA_Normal
SHC4	15q21.1	7.71	6.20	2.63	1.75	1.51	5.659e-5	2.110e-4	(A) BRCA_Basal
PRKAG1	12q13.12	9.93	10.13	0.38	0.21	-0.19	5.682e-5	2.118e-4	(B) BRCA_Normal
CYP4F12	19p13.12	1.79	3.55	1.93	2.21	-1.75	5.685e-5	2.119e-4	(B) BRCA_Normal
PCDHGA6	5q31	4.18	5.07	1.21	1.10	-0.89	5.699e-5	2.124e-4	(B) BRCA_Normal
WRAP73	1p36.32	8.90	8.55	0.60	0.41	0.35	5.713e-5	2.129e-4	(A) BRCA_Basal
NAP1L6P	Xq13.2	1.03	1.96	1.38	1.11	-0.92	5.736e-5	2.137e-4	(B) BRCA_Normal
ZFP82	19q13.12	7.38	6.87	0.86	0.60	0.51	5.739e-5	2.137e-4	(A) BRCA_Basal
PRB2	12p13.2	0.90	0.19	1.65	0.69	0.71	5.772e-5	2.149e-4	(A) BRCA_Basal
MAGEB4	Xp21.2	3.04	1.60	2.49	1.67	1.44	5.774e-5	2.150e-4	(A) BRCA_Basal
BICC1	10q21.1	6.19	7.53	1.81	1.63	-1.33	5.775e-5	2.150e-4	(B) BRCA_Normal
PRB1	12p13.2	0.74	0.12	1.53	0.56	0.62	5.791e-5	2.155e-4	(A) BRCA_Basal
JOSD1	22q13.1	11.04	10.72	0.44	0.39	0.32	5.793e-5	2.156e-4	(A) BRCA_Basal
FAM3B	21q22.3	4.70	6.53	2.42	2.25	-1.83	5.813e-5	2.163e-4	(B) BRCA_Normal
LINC00930	15q26.1	1.98	3.50	1.62	1.92	-1.52	5.852e-5	2.177e-4	(B) BRCA_Normal
SLC60A1	1q32.1	7.10	6.00	1.79	1.30	1.10	5.865e-5	2.181e-4	(A) BRCA_Basal
RAD23B	9q31.2	12.22	11.97	0.48	0.28	0.25	5.876e-5	2.185e-4	(A) BRCA_Basal
MPHOSPH8	13q12.11	9.28	9.69	0.56	0.51	-0.41	5.877e-5	2.185e-4	(B) BRCA_Normal
FHIP1B	11p15.4	9.05	9.43	0.52	0.46	-0.37	5.883e-5	2.187e-4	(B) BRCA_Normal
HGS	17q25.3	11.12	10.71	0.56	0.51	0.42	5.890e-5	2.189e-4	(A) BRCA_Basal
AGMO	7p21.2	1.64	2.67	1.45	1.26	-1.03	5.899e-5	2.192e-4	(B) BRCA_Normal
GPRIN2	10q11.22	7.95	6.64	1.78	1.61	1.31	5.929e-5	2.203e-4	(A) BRCA_Basal
CDH22	20q13.12	1.53	2.92	1.75	1.72	-1.39	5.951e-5	2.210e-4	(B) BRCA_Normal
ZNF519	18p11.21	5.97	5.42	0.90	0.65	0.55	5.961e-5	2.214e-4	(A) BRCA_Basal
PTGES3	12q13.3	12.65	12.41	0.46	0.27	0.24	5.966e-5	2.215e-4	(A) BRCA_Basal
HYAL3	3p21.31	6.92	6.28	0.93	0.78	0.64	5.985e-5	2.222e-4	(A) BRCA_Basal
POSTN	13q13.3	12.93	14.17	1.52	1.56	-1.25	5.992e-5	2.224e-4	(B) BRCA_Normal
PEX5	12p13.31	10.23	9.89	0.77	0.33	0.34	5.998e-5	2.226e-4	(A) BRCA_Basal
ACSL5	10q25.2	8.76	9.48	1.39	0.81	-0.73	6.001e-5	2.226e-4	(B) BRCA_Normal
ARPC1A	7q22.1	11.60	11.23	0.59	0.43	0.36	6.010e-5	2.229e-4	(A) BRCA_Basal
SIKE1	1p13.2	10.00	9.60	0.54	0.48	0.39	6.026e-5	2.234e-4	(A) BRCA_Basal
ELP3	8p21.1	9.20	9.54	0.55	0.40	-0.34	6.026e-5	2.234e-4	(B) BRCA_Normal
ACTRT3	3q26.2	5.91	5.38	0.92	0.62	0.53	6.032e-5	2.236e-4	(A) BRCA_Basal
RIDA	8q22.2	8.84	8.19	0.74	0.82	0.65	6.036e-5	2.237e-4	(A) BRCA_Basal
MICALL1	22q13.1	10.60	10.06	0.79	0.65	0.54	6.039e-5	2.238e-4	(A) BRCA_Basal
EIF3C	16p11.2	8.77	7.27	1.39	1.92	1.50	6.061e-5	2.246e-4	(A) BRCA_Basal
SKIC8	15q25.1	9.56	9.82	0.52	0.28	-0.26	6.065e-5	2.247e-4	(B) BRCA_Normal
PHLDB2	3q13.2	8.40	9.26	1.39	1.02	-0.86	6.069e-5	2.248e-4	(B) BRCA_Normal
ZNF883	9q32	6.89	5.88	1.72	1.18	1.01	6.080e-5	2.251e-4	(A) BRCA_Basal
ZNF429	19p12	6.76	7.28	0.86	0.60	-0.51	6.090e-5	2.254e-4	(B) BRCA_Normal
BDKRB1	14q32.2	2.99	4.21	1.18	1.56	-1.22	6.096e-5	2.256e-4	(B) BRCA_Normal
STK16	2q35	8.88	9.20	0.58	0.37	-0.32	6.115e-5	2.263e-4	(B) BRCA_Normal
AVPR1A	12q14.2	4.19	5.41	1.53	1.52	-1.22	6.143e-5	2.273e-4	(B) BRCA_Normal
GSTT2	22q11.23	5.81	7.14	1.85	1.64	-1.33	6.145e-5	2.273e-4	(B) BRCA_Normal
LARGE2	11p11.2	9.22	8.32	1.62	1.05	0.91	6.155e-5	2.276e-4	(A) BRCA_Basal
CDK5R1	17q11.2	7.14	6.47	1.00	0.81	0.67	6.161e-5	2.278e-4	(A) BRCA_Basal
LYST	1q42.3	9.16	9.80	0.96	0.78	-0.64	6.176e-5	2.283e-4	(B) BRCA_Normal
ACTN4	19q13.2	13.79	13.43	0.73	0.40	0.36	6.179e-5	2.284e-4	(A) BRCA_Basal
SENP7	3q12.3	7.96	8.48	0.78	0.64	-0.52	6.182e-5	2.285e-4	(B) BRCA_Normal
FBXL8	16q22.1	5.21	6.07	1.02	1.07	-0.85	6.191e-5	2.288e-4	(B) BRCA_Normal
