drug_claim_name	nomenclature	concept_id	drug_name	approved	immunotherapy	anti_neoplastic	source_db_name	source_db_version
2-AMINO-N,N-BIS(PHENYLMETHYL)-1,3-OXAZOLE-5-CARBOXAMIDE	Primary Name	drugbank:DB08315	2-AMINO-N,N-BIS(PHENYLMETHYL)-1,3-OXAZOLE-5-CARBOXAMIDE	FALSE	FALSE	FALSE	DrugBank	5.1.12
N,N'-DIPHENYLPYRAZOLO[1,5-A][1,3,5]TRIAZINE-2,4-DIAMINE	Primary Name	drugbank:DB08340	N,N'-DIPHENYLPYRAZOLO[1,5-A][1,3,5]TRIAZINE-2,4-DIAMINE	FALSE	FALSE	FALSE	DrugBank	5.1.12
4-chloro-N-(3-methoxypropyl)-N-[(3S)-1-(2-phenylethyl)piperidin-3-yl]benzamide	Primary Name	drugbank:DB08344	4-CHLORO-N-(3-METHOXYPROPYL)-N-[(3S)-1-(2-PHENYLETHYL)PIPERIDIN-3-YL]BENZAMIDE	FALSE	FALSE	FALSE	DrugBank	5.1.12
4-{[(2S)-3-(tert-butylamino)-2-hydroxypropyl]oxy}-3H-indole-2-carbonitrile	Primary Name	drugbank:DB08347	4-{[(2S)-3-(TERT-BUTYLAMINO)-2-HYDROXYPROPYL]OXY}-3H-INDOLE-2-CARBONITRILE	FALSE	FALSE	FALSE	DrugBank	5.1.12
2-(CYCLOHEXYLMETHYLAMINO)-4-(PHENYLAMINO)PYRAZOLO[1,5-A][1,3,5]TRIAZINE-8-CARBONITRILE	Primary Name	drugbank:DB08353	2-(CYCLOHEXYLMETHYLAMINO)-4-(PHENYLAMINO)PYRAZOLO[1,5-A][1,3,5]TRIAZINE-8-CARBONITRILE	FALSE	FALSE	FALSE	DrugBank	5.1.12
1-methyl-8-(phenylamino)-4,5-dihydro-1H-pyrazolo[4,3-h]quinazoline-3-carboxylic acid	Primary Name	drugbank:DB08355	1-METHYL-8-(PHENYLAMINO)-4,5-DIHYDRO-1H-PYRAZOLO[4,3-H]QUINAZOLINE-3-CARBOXYLIC ACID	FALSE	FALSE	FALSE	DrugBank	5.1.12
4-[4-(4-methoxyphenyl)-5-methyl-1H-pyrazol-3-yl]benzene-1,3-diol	Primary Name	drugbank:DB08356	4-[4-(4-METHOXYPHENYL)-5-METHYL-1H-PYRAZOL-3-YL]BENZENE-1,3-DIOL	FALSE	FALSE	FALSE	DrugBank	5.1.12
1-(biphenyl-4-ylmethyl)-1H-imidazole	Primary Name	drugbank:DB08369	1-(BIPHENYL-4-YLMETHYL)-1H-IMIDAZOLE	FALSE	FALSE	FALSE	DrugBank	5.1.12
4-HYDROXYBENZALDEHYDE O-(3,3-DIMETHYLBUTANOYL)OXIME	Primary Name	drugbank:DB08335	4-HYDROXYBENZALDEHYDE O-(3,3-DIMETHYLBUTANOYL)OXIME	FALSE	FALSE	FALSE	DrugBank	5.1.12
2-Methyl-2-propanyl [(1S)-2-methyl-1-(1,3,4-oxadiazol-2-yl)propyl]carbamate	Primary Name	drugbank:DB08337	2-METHYL-2-PROPANYL [(1S)-2-METHYL-1-(1,3,4-OXADIAZOL-2-YL)PROPYL]CARBAMATE	FALSE	FALSE	FALSE	DrugBank	5.1.12
PD-166326	Primary Name	drugbank:DB08339	PD-166326	FALSE	FALSE	FALSE	DrugBank	5.1.12
N-cyclopropyl-4-methyl-3-{2-[(2-morpholin-4-ylethyl)amino]quinazolin-6-yl}benzamide	Primary Name	drugbank:DB08351	N-CYCLOPROPYL-4-METHYL-3-{2-[(2-MORPHOLIN-4-YLETHYL)AMINO]QUINAZOLIN-6-YL}BENZAMIDE	FALSE	FALSE	FALSE	DrugBank	5.1.12
(R)-2-(FORMYLOXY)-3-(PHOSPHONOOXY)PROPYL PENTANOATE	Primary Name	drugbank:DB08367	(R)-2-(FORMYLOXY)-3-(PHOSPHONOOXY)PROPYL PENTANOATE	FALSE	FALSE	FALSE	DrugBank	5.1.12
S-(4-BROMOBENZYL)CYSTEINE	Primary Name	drugbank:DB08370	S-(4-BROMOBENZYL)CYSTEINE	FALSE	FALSE	FALSE	DrugBank	5.1.12
SUCCINIC ACID MONO-(13-METHYL-3-OXO-2,3,6,7,8,9,10,11,12,13,14,15,16,17-TETRADECAHYDRO-1H-CYCLOPENTA[A]PHENANTHREN-17-YL) ESTER	Primary Name	drugbank:DB08308	SUCCINIC ACID MONO-(13-METHYL-3-OXO-2,3,6,7,8,9,10,11,12,13,14,15,16,17-TETRADECAHYDRO-1H-CYCLOPENTA[A]PHENANTHREN-17-YL) ESTER	FALSE	FALSE	FALSE	DrugBank	5.1.12
N-[(2R)-2-{[(2S)-2-(1,3-benzoxazol-2-yl)pyrrolidin-1-yl]carbonyl}hexyl]-N-hydroxyformamide	Primary Name	drugbank:DB08310	N-[(2R)-2-{[(2S)-2-(1,3-BENZOXAZOL-2-YL)PYRROLIDIN-1-YL]CARBONYL}HEXYL]-N-HYDROXYFORMAMIDE	FALSE	FALSE	FALSE	DrugBank	5.1.12
Nocodazole	Primary Name	ncit:C75228	NOCODAZOLE	FALSE	FALSE	FALSE	DrugBank	5.1.12
4-amino-7,7-dimethyl-7,8-dihydroquinazolin-5(6H)-one	Primary Name	drugbank:DB08316	4-AMINO-7,7-DIMETHYL-7,8-DIHYDROQUINAZOLIN-5(6H)-ONE	FALSE	FALSE	FALSE	DrugBank	5.1.12
(1S,2S,3R,6R)-4-(hydroxymethyl)-6-(octylamino)cyclohex-4-ene-1,2,3-triol	Primary Name	drugbank:DB08321	(1S,2S,3R,6R)-4-(HYDROXYMETHYL)-6-(OCTYLAMINO)CYCLOHEX-4-ENE-1,2,3-TRIOL	FALSE	FALSE	FALSE	DrugBank	5.1.12
2-(6-HYDROXY-1,3-BENZOTHIAZOL-2-YL)-1,3-THIAZOL-4(5H)-ONE	Primary Name	drugbank:DB08326	2-(6-HYDROXY-1,3-BENZOTHIAZOL-2-YL)-1,3-THIAZOL-4(5H)-ONE	FALSE	FALSE	FALSE	DrugBank	5.1.12
N-1H-imidazol-2-yl-N'-[4-(1H-imidazol-2-ylamino)phenyl]benzene-1,4-diamine	Primary Name	drugbank:DB08331	N-1H-IMIDAZOL-2-YL-N'-[4-(1H-IMIDAZOL-2-YLAMINO)PHENYL]BENZENE-1,4-DIAMINE	FALSE	FALSE	FALSE	DrugBank	5.1.12
S-palmitoyl-L-cysteine	Primary Name	drugbank:DB08342	S-PALMITOYL-L-CYSTEINE	FALSE	FALSE	FALSE	DrugBank	5.1.12
6-[4-(2-fluorophenyl)-1,3-oxazol-5-yl]-N-(1-methylethyl)-1,3-benzothiazol-2-amine	Primary Name	drugbank:DB08352	6-[4-(2-FLUOROPHENYL)-1,3-OXAZOL-5-YL]-N-(1-METHYLETHYL)-1,3-BENZOTHIAZOL-2-AMINE	FALSE	FALSE	FALSE	DrugBank	5.1.12
2-PHENYLAMINO-4-METHYL-5-ACETYL THIAZOLE	Primary Name	drugbank:DB08359	2-PHENYLAMINO-4-METHYL-5-ACETYL THIAZOLE	FALSE	FALSE	FALSE	DrugBank	5.1.12
2-(4-ETHYLPIPERAZIN-1-YL)-4-(PHENYLAMINO)PYRAZOLO[1,5-A][1,3,5]TRIAZINE-8-CARBONITRILE	Primary Name	drugbank:DB08360	2-(4-ETHYLPIPERAZIN-1-YL)-4-(PHENYLAMINO)PYRAZOLO[1,5-A][1,3,5]TRIAZINE-8-CARBONITRILE	FALSE	FALSE	FALSE	DrugBank	5.1.12
